,PUMA,SEX,MSP,HISP,RAC1P,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE
PUMA,-5.995204332975845e-15,0.041894144084894655,0.05187645285057132,-0.2729738469247829,-0.15311544867538573,-0.08745818764501057,-0.0052950376910645205,0.01787560956406456,-0.02123522839489067
SEX,0.041894144084894655,-2.6978419498391304e-14,0.007430296771639733,0.014842952303901667,0.0012965406747056716,-0.08181575372473299,-0.004967994799133006,-0.0370498258977521,0.0307637491759042
MSP,0.05187645285057132,0.007430296771639733,1.0325074129013956e-14,-0.01624589822752833,-0.025205128217020485,-0.0346864023275744,-0.05705414959753896,0.06767264657595115,0.12168242235724638
HISP,-0.2729738469247829,0.014842952303901667,-0.01624589822752833,-1.6986412276764895e-14,-0.23128685140470787,-0.09616135467016936,-0.009185113996671199,0.10785269734924086,0.02437301775681873
RAC1P,-0.15311544867538573,0.0012965406747056716,-0.025205128217020485,-0.23128685140470787,-1.2101430968414206e-14,-0.10152487407836205,-0.01328340986637188,0.11597923701906193,0.07440776105638788
OWN_RENT,-0.08745818764501057,-0.08181575372473299,-0.0346864023275744,-0.09616135467016936,-0.10152487407836205,0.0,-0.02965352361450513,0.11728845026259027,0.05890533137305376
INDP_CAT,-0.0052950376910645205,-0.004967994799133006,-0.05705414959753896,-0.009185113996671199,-0.01328340986637188,-0.02965352361450513,0.0,-0.18180952998641592,-0.26384314774766476
EDU,0.01787560956406456,-0.0370498258977521,0.06767264657595115,0.10785269734924086,0.11597923701906193,0.11728845026259027,-0.18180952998641592,9.325873406851315e-15,-0.2261701741978101
PINCP_DECILE,-0.02123522839489067,0.0307637491759042,0.12168242235724638,0.02437301775681873,0.07440776105638788,0.05890533137305376,-0.26384314774766476,-0.2261701741978101,8.104628079763643e-15
