,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,0.009422126834489071,0.03865198528539186,-0.09640845400237072,-0.030248705397867184,-0.045241476389969865,0.15300939633798927,0.11591482138817794,-0.0737156734459167,0.09783883188089756
SEX,0.009422126834489071,0.0,0.0012758840358366745,-0.010482032045107573,0.010914926596129613,-0.0133226948635678,4.872620097077715e-05,-0.0036508342253794984,0.0684091923856981,0.006259088066315785
MSP,0.03865198528539186,0.0012758840358366745,0.0,-0.10341368408679864,0.017054648566535657,0.029239568171473322,0.06427978754393021,0.04067877376427123,0.003058044392658138,0.012746126888089467
RAC1P,-0.09640845400237072,-0.010482032045107573,-0.10341368408679864,0.0,-1.545700719517845e-05,-0.013797756187117122,-0.0983279993699378,-0.09399052210446543,0.015291513358006463,-0.003320167975377162
HOUSING_TYPE,-0.030248705397867184,0.010914926596129613,0.017054648566535657,-1.545700719517845e-05,0.0,0.050895108864160266,0.029577553265354037,0.0005401311318119495,0.010963017167218649,-0.007015706277387563
OWN_RENT,-0.045241476389969865,-0.0133226948635678,0.029239568171473322,-0.013797756187117122,0.050895108864160266,0.0,-0.052405883157189206,-0.040049755185060903,-0.0036636394314186844,0.029271365118095912
EDU,0.15300939633798927,4.872620097077715e-05,0.06427978754393021,-0.0983279993699378,0.029577553265354037,-0.052405883157189206,0.0,0.09954517739274837,-0.013804466852654781,-0.02357458360761981
PINCP_DECILE,0.11591482138817794,-0.0036508342253794984,0.04067877376427123,-0.09399052210446543,0.0005401311318119495,-0.040049755185060903,0.09954517739274837,0.0,-0.04498129451692876,-0.02440103769639275
DVET,-0.0737156734459167,0.0684091923856981,0.003058044392658138,0.015291513358006463,0.010963017167218649,-0.0036636394314186844,-0.013804466852654781,-0.04498129451692876,0.0,0.04592436987137301
DEYE,0.09783883188089756,0.006259088066315785,0.012746126888089467,-0.003320167975377162,-0.007015706277387563,0.029271365118095912,-0.02357458360761981,-0.02440103769639275,0.04592436987137301,0.0
