,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,-0.05172540460812299,-0.10248460438109107,0.12586983385547934,0.08119635965316752,0.10577280962555077,-0.4719982543497589,-0.4882320934889806,-0.09050531967062057,0.12667473625111114
SEX,-0.05172540460812299,0.0,0.014443710288307685,-0.004949121582436585,0.03544222872747486,-0.038627069218793955,-0.029431629029800104,0.055911716194110145,0.09374070506160581,-0.003249424254115692
MSP,-0.10248460438109107,0.014443710288307685,0.0,0.01898956193024859,-0.26514506605203664,0.05788623394855223,-0.2802241833575319,-0.166064959534152,0.008153190281385832,0.029792300946151182
RAC1P,0.12586983385547934,-0.004949121582436585,0.01898956193024859,0.0,0.03279839059060653,-0.07588227317655807,0.0901046752747029,0.10490768507861259,0.019277458917171426,-0.015197623518815085
HOUSING_TYPE,0.08119635965316752,0.03544222872747486,-0.26514506605203664,0.03279839059060653,0.0,0.5662812032543004,0.0018248622523533674,0.1550734952118741,0.011090959364417716,0.01821011683942052
OWN_RENT,0.10577280962555077,-0.038627069218793955,0.05788623394855223,-0.07588227317655807,0.5662812032543004,0.0,0.032578232293199005,-0.013316663338497351,0.020177801902846595,4.901421175893504e-05
EDU,-0.4719982543497589,-0.029431629029800104,-0.2802241833575319,0.0901046752747029,0.0018248622523533674,0.032578232293199005,0.0,-0.6728864788094793,-0.03565347305394777,-0.02631921830438109
PINCP_DECILE,-0.4882320934889806,0.055911716194110145,-0.166064959534152,0.10490768507861259,0.1550734952118741,-0.013316663338497351,-0.6728864788094793,0.0,-0.07399481571755959,-0.023493712073074397
DVET,-0.09050531967062057,0.09374070506160581,0.008153190281385832,0.019277458917171426,0.011090959364417716,0.020177801902846595,-0.03565347305394777,-0.07399481571755959,0.0,0.025020121717043656
DEYE,0.12667473625111114,-0.003249424254115692,0.029792300946151182,-0.015197623518815085,0.01821011683942052,4.901421175893504e-05,-0.02631921830438109,-0.023493712073074397,0.025020121717043656,0.0
