,Target,QID Combination,DiSCO Score
0,PUMA,"('AGEP', 'NPF', 'RAC1P', 'SEX')",0.0011
1,PUMA,"('DENSITY', 'NPF', 'RAC1P', 'SEX')",0.0094
2,PUMA,"('NPF', 'PWGTP', 'RAC1P', 'SEX')",0.0011
3,PUMA,"('INDP_CAT', 'NPF', 'RAC1P', 'SEX')",0.0014
4,PUMA,"('NOC', 'NPF', 'RAC1P', 'SEX')",0.0017
5,PUMA,"('DPHY', 'NPF', 'RAC1P', 'SEX')",0.001
6,PUMA,"('NPF', 'POVPIP', 'RAC1P', 'SEX')",0.0014
7,PUMA,"('HISP', 'NPF', 'RAC1P', 'SEX')",0.0011
8,PUMA,"('MSP', 'NPF', 'RAC1P', 'SEX')",0.0015
9,PUMA,"('HOUSING_TYPE', 'NPF', 'RAC1P', 'SEX')",0.0007
10,PUMA,"('NPF', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
11,PUMA,"('EDU', 'NPF', 'RAC1P', 'SEX')",0.0024
12,PUMA,"('INDP', 'NPF', 'RAC1P', 'SEX')",0.0001
13,PUMA,"('DREM', 'NPF', 'RAC1P', 'SEX')",0.0012
14,PUMA,"('NPF', 'PINCP', 'RAC1P', 'SEX')",0.0006
15,PUMA,"('NPF', 'RAC1P', 'SEX', 'WGTP')",0.0012
16,PUMA,"('DVET', 'NPF', 'RAC1P', 'SEX')",0.0005
17,PUMA,"('DEAR', 'NPF', 'RAC1P', 'SEX')",0.0006
18,PUMA,"('NPF', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0014
19,PUMA,"('DEYE', 'NPF', 'RAC1P', 'SEX')",0.0004
20,PUMA,"('AGEP', 'DENSITY', 'RAC1P', 'SEX')",0.0048
21,PUMA,"('AGEP', 'PWGTP', 'RAC1P', 'SEX')",0.0005
22,PUMA,"('AGEP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0005
23,PUMA,"('AGEP', 'NOC', 'RAC1P', 'SEX')",0.001
24,PUMA,"('AGEP', 'DPHY', 'RAC1P', 'SEX')",0.0005
25,PUMA,"('AGEP', 'POVPIP', 'RAC1P', 'SEX')",0.001
26,PUMA,"('AGEP', 'HISP', 'RAC1P', 'SEX')",0.0015
27,PUMA,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0003
28,PUMA,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0004
29,PUMA,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0006
30,PUMA,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0007
31,PUMA,"('AGEP', 'INDP', 'RAC1P', 'SEX')",0.0001
32,PUMA,"('AGEP', 'DREM', 'RAC1P', 'SEX')",0.0004
33,PUMA,"('AGEP', 'PINCP', 'RAC1P', 'SEX')",0.0004
34,PUMA,"('AGEP', 'RAC1P', 'SEX', 'WGTP')",0.001
35,PUMA,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0003
36,PUMA,"('AGEP', 'DEAR', 'RAC1P', 'SEX')",0.0004
37,PUMA,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0015
38,PUMA,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0004
39,PUMA,"('DENSITY', 'PWGTP', 'RAC1P', 'SEX')",0.0024
40,PUMA,"('DENSITY', 'INDP_CAT', 'RAC1P', 'SEX')",0.0028
41,PUMA,"('DENSITY', 'NOC', 'RAC1P', 'SEX')",0.0069
42,PUMA,"('DENSITY', 'DPHY', 'RAC1P', 'SEX')",0.0037
43,PUMA,"('DENSITY', 'POVPIP', 'RAC1P', 'SEX')",0.006
44,PUMA,"('DENSITY', 'HISP', 'RAC1P', 'SEX')",0.0045
45,PUMA,"('DENSITY', 'MSP', 'RAC1P', 'SEX')",0.0098
46,PUMA,"('DENSITY', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0022
47,PUMA,"('DENSITY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0031
48,PUMA,"('DENSITY', 'EDU', 'RAC1P', 'SEX')",0.0107
49,PUMA,"('DENSITY', 'INDP', 'RAC1P', 'SEX')",0.0002
50,PUMA,"('DENSITY', 'DREM', 'RAC1P', 'SEX')",0.0037
51,PUMA,"('DENSITY', 'PINCP', 'RAC1P', 'SEX')",0.0028
52,PUMA,"('DENSITY', 'RAC1P', 'SEX', 'WGTP')",0.0029
53,PUMA,"('DENSITY', 'DVET', 'RAC1P', 'SEX')",0.0015
54,PUMA,"('DEAR', 'DENSITY', 'RAC1P', 'SEX')",0.0019
55,PUMA,"('DENSITY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0091
56,PUMA,"('DENSITY', 'DEYE', 'RAC1P', 'SEX')",0.0021
57,PUMA,"('INDP_CAT', 'PWGTP', 'RAC1P', 'SEX')",0.0001
58,PUMA,"('NOC', 'PWGTP', 'RAC1P', 'SEX')",0.0006
59,PUMA,"('DPHY', 'PWGTP', 'RAC1P', 'SEX')",0.0002
60,PUMA,"('POVPIP', 'PWGTP', 'RAC1P', 'SEX')",0.0009
61,PUMA,"('HISP', 'PWGTP', 'RAC1P', 'SEX')",0.0004
62,PUMA,"('MSP', 'PWGTP', 'RAC1P', 'SEX')",0.0006
63,PUMA,"('HOUSING_TYPE', 'PWGTP', 'RAC1P', 'SEX')",0.0
64,PUMA,"('OWN_RENT', 'PWGTP', 'RAC1P', 'SEX')",0.0001
65,PUMA,"('EDU', 'PWGTP', 'RAC1P', 'SEX')",0.0005
66,PUMA,"('INDP', 'PWGTP', 'RAC1P', 'SEX')",0.0
67,PUMA,"('DREM', 'PWGTP', 'RAC1P', 'SEX')",0.0002
68,PUMA,"('PINCP', 'PWGTP', 'RAC1P', 'SEX')",0.0002
69,PUMA,"('PWGTP', 'RAC1P', 'SEX', 'WGTP')",0.0004
70,PUMA,"('DVET', 'PWGTP', 'RAC1P', 'SEX')",0.0
71,PUMA,"('DEAR', 'PWGTP', 'RAC1P', 'SEX')",0.0001
72,PUMA,"('PINCP_DECILE', 'PWGTP', 'RAC1P', 'SEX')",0.0008
73,PUMA,"('DEYE', 'PWGTP', 'RAC1P', 'SEX')",0.0002
74,PUMA,"('INDP_CAT', 'NOC', 'RAC1P', 'SEX')",0.0014
75,PUMA,"('DPHY', 'INDP_CAT', 'RAC1P', 'SEX')",0.0002
76,PUMA,"('INDP_CAT', 'POVPIP', 'RAC1P', 'SEX')",0.0007
77,PUMA,"('HISP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0004
78,PUMA,"('INDP_CAT', 'MSP', 'RAC1P', 'SEX')",0.001
79,PUMA,"('HOUSING_TYPE', 'INDP_CAT', 'RAC1P', 'SEX')",0.0003
80,PUMA,"('INDP_CAT', 'OWN_RENT', 'RAC1P', 'SEX')",0.001
81,PUMA,"('EDU', 'INDP_CAT', 'RAC1P', 'SEX')",0.0008
82,PUMA,"('INDP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0
83,PUMA,"('DREM', 'INDP_CAT', 'RAC1P', 'SEX')",0.0004
84,PUMA,"('INDP_CAT', 'PINCP', 'RAC1P', 'SEX')",0.0004
85,PUMA,"('INDP_CAT', 'RAC1P', 'SEX', 'WGTP')",0.0004
86,PUMA,"('DVET', 'INDP_CAT', 'RAC1P', 'SEX')",0.0003
87,PUMA,"('DEAR', 'INDP_CAT', 'RAC1P', 'SEX')",0.0003
88,PUMA,"('INDP_CAT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0016
89,PUMA,"('DEYE', 'INDP_CAT', 'RAC1P', 'SEX')",0.0003
90,PUMA,"('DPHY', 'NOC', 'RAC1P', 'SEX')",0.0009
91,PUMA,"('NOC', 'POVPIP', 'RAC1P', 'SEX')",0.0012
92,PUMA,"('HISP', 'NOC', 'RAC1P', 'SEX')",0.0013
93,PUMA,"('MSP', 'NOC', 'RAC1P', 'SEX')",0.0014
94,PUMA,"('HOUSING_TYPE', 'NOC', 'RAC1P', 'SEX')",0.0004
95,PUMA,"('NOC', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
96,PUMA,"('EDU', 'NOC', 'RAC1P', 'SEX')",0.0022
97,PUMA,"('INDP', 'NOC', 'RAC1P', 'SEX')",0.0
98,PUMA,"('DREM', 'NOC', 'RAC1P', 'SEX')",0.0006
99,PUMA,"('NOC', 'PINCP', 'RAC1P', 'SEX')",0.0006
100,PUMA,"('NOC', 'RAC1P', 'SEX', 'WGTP')",0.0004
101,PUMA,"('DVET', 'NOC', 'RAC1P', 'SEX')",0.0001
102,PUMA,"('DEAR', 'NOC', 'RAC1P', 'SEX')",0.0003
103,PUMA,"('NOC', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0018
104,PUMA,"('DEYE', 'NOC', 'RAC1P', 'SEX')",0.0005
105,PUMA,"('DPHY', 'POVPIP', 'RAC1P', 'SEX')",0.001
106,PUMA,"('DPHY', 'HISP', 'RAC1P', 'SEX')",0.0007
107,PUMA,"('DPHY', 'MSP', 'RAC1P', 'SEX')",0.0008
108,PUMA,"('DPHY', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0004
109,PUMA,"('DPHY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
110,PUMA,"('DPHY', 'EDU', 'RAC1P', 'SEX')",0.0003
111,PUMA,"('DPHY', 'INDP', 'RAC1P', 'SEX')",0.0
112,PUMA,"('DPHY', 'DREM', 'RAC1P', 'SEX')",0.0
113,PUMA,"('DPHY', 'PINCP', 'RAC1P', 'SEX')",0.0
114,PUMA,"('DPHY', 'RAC1P', 'SEX', 'WGTP')",0.0006
115,PUMA,"('DPHY', 'DVET', 'RAC1P', 'SEX')",0.0001
116,PUMA,"('DEAR', 'DPHY', 'RAC1P', 'SEX')",0.0
117,PUMA,"('DPHY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0004
118,PUMA,"('DEYE', 'DPHY', 'RAC1P', 'SEX')",0.0002
119,PUMA,"('HISP', 'POVPIP', 'RAC1P', 'SEX')",0.0011
120,PUMA,"('MSP', 'POVPIP', 'RAC1P', 'SEX')",0.0008
121,PUMA,"('HOUSING_TYPE', 'POVPIP', 'RAC1P', 'SEX')",0.0005
122,PUMA,"('OWN_RENT', 'POVPIP', 'RAC1P', 'SEX')",0.0005
123,PUMA,"('EDU', 'POVPIP', 'RAC1P', 'SEX')",0.001
124,PUMA,"('INDP', 'POVPIP', 'RAC1P', 'SEX')",0.0
125,PUMA,"('DREM', 'POVPIP', 'RAC1P', 'SEX')",0.001
126,PUMA,"('PINCP', 'POVPIP', 'RAC1P', 'SEX')",0.0003
127,PUMA,"('POVPIP', 'RAC1P', 'SEX', 'WGTP')",0.0004
128,PUMA,"('DVET', 'POVPIP', 'RAC1P', 'SEX')",0.0005
129,PUMA,"('DEAR', 'POVPIP', 'RAC1P', 'SEX')",0.0005
130,PUMA,"('PINCP_DECILE', 'POVPIP', 'RAC1P', 'SEX')",0.0017
131,PUMA,"('DEYE', 'POVPIP', 'RAC1P', 'SEX')",0.0006
132,PUMA,"('HISP', 'MSP', 'RAC1P', 'SEX')",0.0026
133,PUMA,"('HISP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
134,PUMA,"('HISP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0005
135,PUMA,"('EDU', 'HISP', 'RAC1P', 'SEX')",0.0016
136,PUMA,"('HISP', 'INDP', 'RAC1P', 'SEX')",0.0001
137,PUMA,"('DREM', 'HISP', 'RAC1P', 'SEX')",0.0003
138,PUMA,"('HISP', 'PINCP', 'RAC1P', 'SEX')",0.0001
139,PUMA,"('HISP', 'RAC1P', 'SEX', 'WGTP')",0.0007
140,PUMA,"('DVET', 'HISP', 'RAC1P', 'SEX')",0.0001
141,PUMA,"('DEAR', 'HISP', 'RAC1P', 'SEX')",0.0001
142,PUMA,"('HISP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.002
143,PUMA,"('DEYE', 'HISP', 'RAC1P', 'SEX')",0.0002
144,PUMA,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.001
145,PUMA,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0011
146,PUMA,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0013
147,PUMA,"('INDP', 'MSP', 'RAC1P', 'SEX')",0.0001
148,PUMA,"('DREM', 'MSP', 'RAC1P', 'SEX')",0.0009
149,PUMA,"('MSP', 'PINCP', 'RAC1P', 'SEX')",0.0003
150,PUMA,"('MSP', 'RAC1P', 'SEX', 'WGTP')",0.0006
151,PUMA,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0008
152,PUMA,"('DEAR', 'MSP', 'RAC1P', 'SEX')",0.0009
153,PUMA,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0015
154,PUMA,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.001
155,PUMA,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
156,PUMA,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0019
157,PUMA,"('HOUSING_TYPE', 'INDP', 'RAC1P', 'SEX')",0.0
158,PUMA,"('DREM', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0002
159,PUMA,"('HOUSING_TYPE', 'PINCP', 'RAC1P', 'SEX')",0.0
160,PUMA,"('HOUSING_TYPE', 'RAC1P', 'SEX', 'WGTP')",0.0
161,PUMA,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0002
162,PUMA,"('DEAR', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0004
163,PUMA,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0006
164,PUMA,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0002
165,PUMA,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
166,PUMA,"('INDP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
167,PUMA,"('DREM', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
168,PUMA,"('OWN_RENT', 'PINCP', 'RAC1P', 'SEX')",0.0002
169,PUMA,"('OWN_RENT', 'RAC1P', 'SEX', 'WGTP')",0.0
170,PUMA,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
171,PUMA,"('DEAR', 'OWN_RENT', 'RAC1P', 'SEX')",0.0001
172,PUMA,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0005
173,PUMA,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
174,PUMA,"('EDU', 'INDP', 'RAC1P', 'SEX')",0.0001
175,PUMA,"('DREM', 'EDU', 'RAC1P', 'SEX')",0.0001
176,PUMA,"('EDU', 'PINCP', 'RAC1P', 'SEX')",0.0004
177,PUMA,"('EDU', 'RAC1P', 'SEX', 'WGTP')",0.0006
178,PUMA,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.0001
179,PUMA,"('DEAR', 'EDU', 'RAC1P', 'SEX')",0.0005
180,PUMA,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0012
181,PUMA,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0004
182,PUMA,"('DREM', 'INDP', 'RAC1P', 'SEX')",0.0
183,PUMA,"('INDP', 'PINCP', 'RAC1P', 'SEX')",0.0
184,PUMA,"('INDP', 'RAC1P', 'SEX', 'WGTP')",0.0
185,PUMA,"('DVET', 'INDP', 'RAC1P', 'SEX')",0.0
186,PUMA,"('DEAR', 'INDP', 'RAC1P', 'SEX')",0.0
187,PUMA,"('INDP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0001
188,PUMA,"('DEYE', 'INDP', 'RAC1P', 'SEX')",0.0
189,PUMA,"('DREM', 'PINCP', 'RAC1P', 'SEX')",0.0
190,PUMA,"('DREM', 'RAC1P', 'SEX', 'WGTP')",0.0003
191,PUMA,"('DREM', 'DVET', 'RAC1P', 'SEX')",0.0
192,PUMA,"('DEAR', 'DREM', 'RAC1P', 'SEX')",0.0001
193,PUMA,"('DREM', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0003
194,PUMA,"('DEYE', 'DREM', 'RAC1P', 'SEX')",0.0
195,PUMA,"('PINCP', 'RAC1P', 'SEX', 'WGTP')",0.0002
196,PUMA,"('DVET', 'PINCP', 'RAC1P', 'SEX')",0.0
197,PUMA,"('DEAR', 'PINCP', 'RAC1P', 'SEX')",0.0
198,PUMA,"('PINCP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0007
199,PUMA,"('DEYE', 'PINCP', 'RAC1P', 'SEX')",0.0001
200,PUMA,"('DVET', 'RAC1P', 'SEX', 'WGTP')",0.0
201,PUMA,"('DEAR', 'RAC1P', 'SEX', 'WGTP')",0.0001
202,PUMA,"('PINCP_DECILE', 'RAC1P', 'SEX', 'WGTP')",0.0004
203,PUMA,"('DEYE', 'RAC1P', 'SEX', 'WGTP')",0.0
204,PUMA,"('DEAR', 'DVET', 'RAC1P', 'SEX')",0.0
205,PUMA,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0002
206,PUMA,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0
207,PUMA,"('DEAR', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0003
208,PUMA,"('DEAR', 'DEYE', 'RAC1P', 'SEX')",0.0
209,PUMA,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0004
210,NPF,"('AGEP', 'PUMA', 'RAC1P', 'SEX')",0.0019
211,NPF,"('DENSITY', 'PUMA', 'RAC1P', 'SEX')",0.0003
212,NPF,"('PUMA', 'PWGTP', 'RAC1P', 'SEX')",0.0014
213,NPF,"('INDP_CAT', 'PUMA', 'RAC1P', 'SEX')",0.0008
214,NPF,"('NOC', 'PUMA', 'RAC1P', 'SEX')",0.0149
215,NPF,"('DPHY', 'PUMA', 'RAC1P', 'SEX')",0.0016
216,NPF,"('POVPIP', 'PUMA', 'RAC1P', 'SEX')",0.0017
217,NPF,"('HISP', 'PUMA', 'RAC1P', 'SEX')",0.0015
218,NPF,"('MSP', 'PUMA', 'RAC1P', 'SEX')",0.005
219,NPF,"('HOUSING_TYPE', 'PUMA', 'RAC1P', 'SEX')",0.0134
220,NPF,"('OWN_RENT', 'PUMA', 'RAC1P', 'SEX')",0.0112
221,NPF,"('EDU', 'PUMA', 'RAC1P', 'SEX')",0.0028
222,NPF,"('INDP', 'PUMA', 'RAC1P', 'SEX')",0.0
223,NPF,"('DREM', 'PUMA', 'RAC1P', 'SEX')",0.0014
224,NPF,"('PINCP', 'PUMA', 'RAC1P', 'SEX')",0.0006
225,NPF,"('PUMA', 'RAC1P', 'SEX', 'WGTP')",0.0097
226,NPF,"('DVET', 'PUMA', 'RAC1P', 'SEX')",0.0001
227,NPF,"('DEAR', 'PUMA', 'RAC1P', 'SEX')",0.0003
228,NPF,"('PINCP_DECILE', 'PUMA', 'RAC1P', 'SEX')",0.0019
229,NPF,"('DEYE', 'PUMA', 'RAC1P', 'SEX')",0.0005
230,NPF,"('AGEP', 'DENSITY', 'RAC1P', 'SEX')",0.0014
231,NPF,"('AGEP', 'PWGTP', 'RAC1P', 'SEX')",0.0009
232,NPF,"('AGEP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0006
233,NPF,"('AGEP', 'NOC', 'RAC1P', 'SEX')",0.0108
234,NPF,"('AGEP', 'DPHY', 'RAC1P', 'SEX')",0.0003
235,NPF,"('AGEP', 'POVPIP', 'RAC1P', 'SEX')",0.0018
236,NPF,"('AGEP', 'HISP', 'RAC1P', 'SEX')",0.0009
237,NPF,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0025
238,NPF,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0146
239,NPF,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.01
240,NPF,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0021
241,NPF,"('AGEP', 'INDP', 'RAC1P', 'SEX')",0.0002
242,NPF,"('AGEP', 'DREM', 'RAC1P', 'SEX')",0.0004
243,NPF,"('AGEP', 'PINCP', 'RAC1P', 'SEX')",0.0003
244,NPF,"('AGEP', 'RAC1P', 'SEX', 'WGTP')",0.0114
245,NPF,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0001
246,NPF,"('AGEP', 'DEAR', 'RAC1P', 'SEX')",0.0007
247,NPF,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0021
248,NPF,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0009
249,NPF,"('DENSITY', 'PWGTP', 'RAC1P', 'SEX')",0.0008
250,NPF,"('DENSITY', 'INDP_CAT', 'RAC1P', 'SEX')",0.0011
251,NPF,"('DENSITY', 'NOC', 'RAC1P', 'SEX')",0.0151
252,NPF,"('DENSITY', 'DPHY', 'RAC1P', 'SEX')",0.0008
253,NPF,"('DENSITY', 'POVPIP', 'RAC1P', 'SEX')",0.0023
254,NPF,"('DENSITY', 'HISP', 'RAC1P', 'SEX')",0.0012
255,NPF,"('DENSITY', 'MSP', 'RAC1P', 'SEX')",0.0056
256,NPF,"('DENSITY', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0221
257,NPF,"('DENSITY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0141
258,NPF,"('DENSITY', 'EDU', 'RAC1P', 'SEX')",0.0025
259,NPF,"('DENSITY', 'INDP', 'RAC1P', 'SEX')",0.0
260,NPF,"('DENSITY', 'DREM', 'RAC1P', 'SEX')",0.001
261,NPF,"('DENSITY', 'PINCP', 'RAC1P', 'SEX')",0.0008
262,NPF,"('DENSITY', 'RAC1P', 'SEX', 'WGTP')",0.0111
263,NPF,"('DENSITY', 'DVET', 'RAC1P', 'SEX')",0.0001
264,NPF,"('DEAR', 'DENSITY', 'RAC1P', 'SEX')",0.0008
265,NPF,"('DENSITY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0025
