,INDP,count_target,count_deidentified
3,1070,3,3.0
26,1090,2,1.0
37,1170,3,2.0
5,1180,6,4.0
39,1190,1,6.0
18,1270,6,4.0
9,1280,11,5.0
32,1370,3,7.0
40,1480,1,0.0
38,1670,1,0.0
13,1691,3,3.0
35,1790,1,0.0
29,1870,5,4.0
31,1880,1,4.0
28,1990,5,9.0
7,2090,2,1.0
25,2190,5,4.0
36,2280,2,4.0
20,2290,4,2.0
12,2370,5,7.0
22,2380,3,0.0
19,2390,2,0.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,5,6.0
1,2770,3,1.0
4,2870,3,3.0
6,2880,2,0.0
33,2890,2,0.0
16,2980,3,1.0
0,3291,6,4.0
17,3370,3,1.0
23,3490,3,4.0
2,3570,14,7.0
14,3580,3,7.0
24,3875,4,2.0
30,3895,2,4.0
8,3960,4,5.0
27,3970,1,1.0
34,3980,5,7.0
11,3990,10,13.0
