,Target samples,Deid. samples
0,6170,9
1,0,0
2,0,0
3,138,5
4,1472,63
5,0,0
6,0,0
7,0,0
8,0,0
9,223,23
10,0,0
11,387,47
12,0,0
13,1320,203
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,609,236
29,0,0
30,0,0
31,627,283
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,62,37
38,0,0
39,2776,1785
40,0,0
41,1884,1326
42,0,0
43,0,0
44,5,4
45,0,0
46,0,0
47,187,163
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,2076,2757
57,2003,2795
58,0,0
59,0,0
60,0,0
61,0,0
62,265,430
63,0,0
64,0,0
65,12,22
66,0,0
67,3332,6731
68,19,41
69,0,0
70,0,0
71,3388,8444
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,121,408
78,0,0
79,150,560
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,2,17
90,13,111
91,0,0
92,2,22
93,0,0
94,0,0
95,1,18
96,7,158
97,0,0
98,2,87
99,0,468
