,INDP,count_target,count_deidentified
3,1070,3,2.0
34,1080,1,2.0
26,1090,3,0.0
41,1170,3,4.0
5,1180,7,3.0
18,1270,4,1.0
9,1280,11,0.0
32,1290,1,3.0
35,1370,3,5.0
36,1390,1,1.0
43,1480,1,0.0
42,1670,1,0.0
13,1691,2,0.0
31,1790,4,3.0
29,1870,5,4.0
37,1880,1,0.0
28,1990,4,4.0
7,2090,2,0.0
25,2190,5,3.0
33,2270,1,1.0
40,2280,2,0.0
20,2290,4,5.0
12,2370,7,8.0
22,2380,3,2.0
19,2390,2,1.0
21,2570,1,3.0
15,2590,1,2.0
10,2670,5,1.0
1,2770,3,1.0
4,2870,3,4.0
6,2880,2,1.0
38,2890,2,1.0
16,2980,3,0.0
0,3291,5,1.0
17,3370,2,5.0
23,3490,3,3.0
2,3570,16,9.0
14,3580,4,4.0
24,3875,4,1.0
30,3895,3,3.0
8,3960,5,3.0
27,3970,1,1.0
39,3980,4,4.0
11,3990,14,2.0
