,Target,QID Combination,DiSCO Score
0,DENSITY,"('HOUSING_TYPE', 'POVPIP', 'RAC1P', 'SEX')",0.0007
1,DENSITY,"('DPHY', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
2,DENSITY,"('HOUSING_TYPE', 'PINCP', 'RAC1P', 'SEX')",0.0022
3,DENSITY,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0006
4,DENSITY,"('DREM', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
5,DENSITY,"('HOUSING_TYPE', 'INDP_CAT', 'RAC1P', 'SEX')",0.0014
6,DENSITY,"('HOUSING_TYPE', 'NPF', 'RAC1P', 'SEX')",0.0004
7,DENSITY,"('HOUSING_TYPE', 'PUMA', 'RAC1P', 'SEX')",0.0037
8,DENSITY,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0015
9,DENSITY,"('HOUSING_TYPE', 'INDP', 'RAC1P', 'SEX')",0.0092
10,DENSITY,"('DEAR', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0001
11,DENSITY,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0018
12,DENSITY,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0003
13,DENSITY,"('HOUSING_TYPE', 'NOC', 'RAC1P', 'SEX')",0.0004
14,DENSITY,"('HISP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.001
15,DENSITY,"('HOUSING_TYPE', 'RAC1P', 'SEX', 'WGTP')",0.0005
16,DENSITY,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0001
17,DENSITY,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0012
18,DENSITY,"('HOUSING_TYPE', 'PWGTP', 'RAC1P', 'SEX')",0.0012
19,DENSITY,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0007
20,DENSITY,"('DPHY', 'POVPIP', 'RAC1P', 'SEX')",0.0016
21,DENSITY,"('PINCP', 'POVPIP', 'RAC1P', 'SEX')",0.0121
22,DENSITY,"('MSP', 'POVPIP', 'RAC1P', 'SEX')",0.0032
23,DENSITY,"('DREM', 'POVPIP', 'RAC1P', 'SEX')",0.0015
24,DENSITY,"('INDP_CAT', 'POVPIP', 'RAC1P', 'SEX')",0.0076
25,DENSITY,"('NPF', 'POVPIP', 'RAC1P', 'SEX')",0.0055
26,DENSITY,"('POVPIP', 'PUMA', 'RAC1P', 'SEX')",0.0241
27,DENSITY,"('PINCP_DECILE', 'POVPIP', 'RAC1P', 'SEX')",0.0067
28,DENSITY,"('INDP', 'POVPIP', 'RAC1P', 'SEX')",0.0233
29,DENSITY,"('DEAR', 'POVPIP', 'RAC1P', 'SEX')",0.0014
30,DENSITY,"('EDU', 'POVPIP', 'RAC1P', 'SEX')",0.0085
31,DENSITY,"('OWN_RENT', 'POVPIP', 'RAC1P', 'SEX')",0.0011
32,DENSITY,"('NOC', 'POVPIP', 'RAC1P', 'SEX')",0.0047
33,DENSITY,"('HISP', 'POVPIP', 'RAC1P', 'SEX')",0.0037
34,DENSITY,"('POVPIP', 'RAC1P', 'SEX', 'WGTP')",0.0092
35,DENSITY,"('DEYE', 'POVPIP', 'RAC1P', 'SEX')",0.0008
36,DENSITY,"('AGEP', 'POVPIP', 'RAC1P', 'SEX')",0.0121
37,DENSITY,"('POVPIP', 'PWGTP', 'RAC1P', 'SEX')",0.0106
38,DENSITY,"('DVET', 'POVPIP', 'RAC1P', 'SEX')",0.0013
39,DENSITY,"('DPHY', 'PINCP', 'RAC1P', 'SEX')",0.0028
40,DENSITY,"('DPHY', 'MSP', 'RAC1P', 'SEX')",0.0004
41,DENSITY,"('DPHY', 'DREM', 'RAC1P', 'SEX')",0.0006
42,DENSITY,"('DPHY', 'INDP_CAT', 'RAC1P', 'SEX')",0.0008
43,DENSITY,"('DPHY', 'NPF', 'RAC1P', 'SEX')",0.0017
44,DENSITY,"('DPHY', 'PUMA', 'RAC1P', 'SEX')",0.005
45,DENSITY,"('DPHY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0012
46,DENSITY,"('DPHY', 'INDP', 'RAC1P', 'SEX')",0.0081
47,DENSITY,"('DEAR', 'DPHY', 'RAC1P', 'SEX')",0.0001
48,DENSITY,"('DPHY', 'EDU', 'RAC1P', 'SEX')",0.0017
49,DENSITY,"('DPHY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0005
50,DENSITY,"('DPHY', 'NOC', 'RAC1P', 'SEX')",0.0017
51,DENSITY,"('DPHY', 'HISP', 'RAC1P', 'SEX')",0.0007
52,DENSITY,"('DPHY', 'RAC1P', 'SEX', 'WGTP')",0.0018
53,DENSITY,"('DEYE', 'DPHY', 'RAC1P', 'SEX')",0.0002
54,DENSITY,"('AGEP', 'DPHY', 'RAC1P', 'SEX')",0.0013
55,DENSITY,"('DPHY', 'PWGTP', 'RAC1P', 'SEX')",0.0034
56,DENSITY,"('DPHY', 'DVET', 'RAC1P', 'SEX')",0.0003
57,DENSITY,"('MSP', 'PINCP', 'RAC1P', 'SEX')",0.006
58,DENSITY,"('DREM', 'PINCP', 'RAC1P', 'SEX')",0.0012
59,DENSITY,"('INDP_CAT', 'PINCP', 'RAC1P', 'SEX')",0.008
60,DENSITY,"('NPF', 'PINCP', 'RAC1P', 'SEX')",0.0091
61,DENSITY,"('PINCP', 'PUMA', 'RAC1P', 'SEX')",0.0474
62,DENSITY,"('PINCP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0062
63,DENSITY,"('INDP', 'PINCP', 'RAC1P', 'SEX')",0.0294
64,DENSITY,"('DEAR', 'PINCP', 'RAC1P', 'SEX')",0.0014
65,DENSITY,"('EDU', 'PINCP', 'RAC1P', 'SEX')",0.0105
66,DENSITY,"('OWN_RENT', 'PINCP', 'RAC1P', 'SEX')",0.003
67,DENSITY,"('NOC', 'PINCP', 'RAC1P', 'SEX')",0.0073
68,DENSITY,"('HISP', 'PINCP', 'RAC1P', 'SEX')",0.005
69,DENSITY,"('PINCP', 'RAC1P', 'SEX', 'WGTP')",0.0155
70,DENSITY,"('DEYE', 'PINCP', 'RAC1P', 'SEX')",0.0018
71,DENSITY,"('AGEP', 'PINCP', 'RAC1P', 'SEX')",0.0111
72,DENSITY,"('PINCP', 'PWGTP', 'RAC1P', 'SEX')",0.013
73,DENSITY,"('DVET', 'PINCP', 'RAC1P', 'SEX')",0.0022
74,DENSITY,"('DREM', 'MSP', 'RAC1P', 'SEX')",0.0003
75,DENSITY,"('INDP_CAT', 'MSP', 'RAC1P', 'SEX')",0.0029
76,DENSITY,"('MSP', 'NPF', 'RAC1P', 'SEX')",0.0028
77,DENSITY,"('MSP', 'PUMA', 'RAC1P', 'SEX')",0.0119
78,DENSITY,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0017
79,DENSITY,"('INDP', 'MSP', 'RAC1P', 'SEX')",0.0151
80,DENSITY,"('DEAR', 'MSP', 'RAC1P', 'SEX')",0.0003
81,DENSITY,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0028
82,DENSITY,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0007
83,DENSITY,"('MSP', 'NOC', 'RAC1P', 'SEX')",0.0031
84,DENSITY,"('HISP', 'MSP', 'RAC1P', 'SEX')",0.0007
85,DENSITY,"('MSP', 'RAC1P', 'SEX', 'WGTP')",0.0049
86,DENSITY,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0006
87,DENSITY,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0028
88,DENSITY,"('MSP', 'PWGTP', 'RAC1P', 'SEX')",0.0044
89,DENSITY,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0009
90,DENSITY,"('DREM', 'INDP_CAT', 'RAC1P', 'SEX')",0.0005
91,DENSITY,"('DREM', 'NPF', 'RAC1P', 'SEX')",0.0012
92,DENSITY,"('DREM', 'PUMA', 'RAC1P', 'SEX')",0.007
93,DENSITY,"('DREM', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0008
94,DENSITY,"('DREM', 'INDP', 'RAC1P', 'SEX')",0.0075
95,DENSITY,"('DEAR', 'DREM', 'RAC1P', 'SEX')",0.0002
96,DENSITY,"('DREM', 'EDU', 'RAC1P', 'SEX')",0.0013
97,DENSITY,"('DREM', 'OWN_RENT', 'RAC1P', 'SEX')",0.0001
98,DENSITY,"('DREM', 'NOC', 'RAC1P', 'SEX')",0.0011
99,DENSITY,"('DREM', 'HISP', 'RAC1P', 'SEX')",0.0006
100,DENSITY,"('DREM', 'RAC1P', 'SEX', 'WGTP')",0.0017
101,DENSITY,"('DEYE', 'DREM', 'RAC1P', 'SEX')",0.0
102,DENSITY,"('AGEP', 'DREM', 'RAC1P', 'SEX')",0.001
103,DENSITY,"('DREM', 'PWGTP', 'RAC1P', 'SEX')",0.0017
104,DENSITY,"('DREM', 'DVET', 'RAC1P', 'SEX')",0.0002
105,DENSITY,"('INDP_CAT', 'NPF', 'RAC1P', 'SEX')",0.0052
106,DENSITY,"('INDP_CAT', 'PUMA', 'RAC1P', 'SEX')",0.0309
107,DENSITY,"('INDP_CAT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0061
108,DENSITY,"('INDP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0214
109,DENSITY,"('DEAR', 'INDP_CAT', 'RAC1P', 'SEX')",0.001
110,DENSITY,"('EDU', 'INDP_CAT', 'RAC1P', 'SEX')",0.0065
111,DENSITY,"('INDP_CAT', 'OWN_RENT', 'RAC1P', 'SEX')",0.0014
112,DENSITY,"('INDP_CAT', 'NOC', 'RAC1P', 'SEX')",0.0039
113,DENSITY,"('HISP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0022
114,DENSITY,"('INDP_CAT', 'RAC1P', 'SEX', 'WGTP')",0.0091
115,DENSITY,"('DEYE', 'INDP_CAT', 'RAC1P', 'SEX')",0.0007
116,DENSITY,"('AGEP', 'INDP_CAT', 'RAC1P', 'SEX')",0.0082
117,DENSITY,"('INDP_CAT', 'PWGTP', 'RAC1P', 'SEX')",0.008
118,DENSITY,"('DVET', 'INDP_CAT', 'RAC1P', 'SEX')",0.0013
119,DENSITY,"('NPF', 'PUMA', 'RAC1P', 'SEX')",0.0182
120,DENSITY,"('NPF', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0029
121,DENSITY,"('INDP', 'NPF', 'RAC1P', 'SEX')",0.0265
122,DENSITY,"('DEAR', 'NPF', 'RAC1P', 'SEX')",0.0006
123,DENSITY,"('EDU', 'NPF', 'RAC1P', 'SEX')",0.0069
124,DENSITY,"('NPF', 'OWN_RENT', 'RAC1P', 'SEX')",0.0009
125,DENSITY,"('NOC', 'NPF', 'RAC1P', 'SEX')",0.0033
126,DENSITY,"('HISP', 'NPF', 'RAC1P', 'SEX')",0.0028
127,DENSITY,"('NPF', 'RAC1P', 'SEX', 'WGTP')",0.0096
128,DENSITY,"('DEYE', 'NPF', 'RAC1P', 'SEX')",0.0006
129,DENSITY,"('AGEP', 'NPF', 'RAC1P', 'SEX')",0.0074
