,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.1102230246251565e-16,0.011236036579322576,-0.006226971106652823,0.0018533782057417406,-0.004191358350569383,0.019451550214578228,0.014364045103588224,-0.02472809085635294,0.007979695150680421,0.00257243553694126,0.014913436350429299,0.002524242761259116,-0.004653491251833272,0.00468067884672602,0.018093342893434554,0.0044737322598819036,0.013315399193462706,0.004152534815793905,-0.01424739409465768
AGEP,0.011236036579322577,-1.1102230246251565e-16,-0.005792052998299296,0.01385307463193819,0.023738750034143025,0.0034377565121137266,-0.002271910297679147,0.00784000799217388,-0.008048048830799279,-0.02220557220778245,0.01677039628279754,0.029479475223266174,0.01344126350857311,0.00891958328215775,0.009130553855250884,0.01561961387108829,0.024200440753516177,0.007219476740366604,0.015255705542477654
SEX,-0.006226971106652823,-0.005792052998299289,-2.220446049250313e-16,-0.005724400708722318,0.005180047836113084,0.0032358314921594965,0.010120442489222697,0.014151392145626381,0.006737944151329878,-0.01302491400780062,-0.003742742060366665,0.01626054654342269,-0.0031081637606485135,0.007876337786383733,-0.008532976960410998,-0.032900155326011156,-0.01281391957421189,0.0032505931128585207,0.03287123089401125
MSP,0.0018533782057417406,0.013853074631938161,-0.005724400708722318,0.0,-0.003369597657879919,0.002154490537236972,-0.021800585570312947,-0.021024785738992358,-0.0008943455265539302,0.015882157474333726,-0.009853671123412032,0.017030662731166823,0.012029286957419533,0.01886674079678141,0.009465526207062218,0.007358081122638083,0.01797050619697535,-0.00911331348087134,0.012204606340145384
HISP,-0.004191358350569384,0.023738750034143025,0.005180047836113084,-0.0033695976578799157,1.1102230246251565e-16,0.003472549728812502,-0.019873934657260006,0.02465654948417295,0.025212904614574982,-0.05073559793358564,-0.016886815800240002,-0.011152620171150214,0.010975578013594611,-0.0035756833452850745,-0.02272154349500007,-0.01041798360897022,-0.010000269428964117,0.007392268470958283,0.0021361559953174958
RAC1P,0.019451550214578228,0.0034377565121137127,0.0032358314921594974,0.0021544905372369756,0.003472549728812502,-1.1102230246251565e-16,0.013399010046259478,0.0281684085942946,-0.009680892935297308,0.03389045823543557,0.0044065348660222575,-0.015973712964997742,-0.023276438960133754,-0.00919471247358733,-0.005435387973397841,0.012980841957700901,0.008304472359286377,-0.032491588275419224,0.0017332955534562142
NOC,0.014364045103588225,-0.0022719102976792027,0.0101204424892227,-0.021800585570312947,-0.01987393465726006,0.013399010046259471,2.220446049250313e-16,0.0034943433601101193,0.01784215262756994,-0.009978522047650845,-0.010592544098109991,-0.0121150635259962,0.007466445606017835,0.0025695851534282,-0.01593058306512289,-0.011552451838647226,-0.007984448476206083,0.0009234438397641848,-0.008087747953885643
NPF,-0.024728090856352934,0.007840007992173825,0.014151392145626381,-0.021024785738992413,0.02465654948417295,0.028168408594294606,0.0034943433601102303,1.1102230246251565e-16,0.01273587431267345,9.447780084278698e-05,-0.020919877639535636,-0.011292562357251443,-0.006175086803131946,0.003577167837364559,-0.007829029922763624,-0.013131700382309638,-0.01620320299894275,-0.011596023945595432,-0.0007396547247818658
HOUSING_TYPE,0.007979695150680418,-0.008048048830799286,0.006737944151329877,-0.0008943455265539579,0.025212904614574986,-0.009680892935297308,0.01784215262756994,0.012735874312673479,0.0,0.02602539058466169,0.01564210795238126,0.021759263304197425,0.010594215820754309,0.0030355925930520417,0.014175967005659186,0.04145673725019369,0.01674906973347938,0.050497253947469484,0.0633568970193478
OWN_RENT,0.0025724355369412567,-0.022205572207782465,-0.01302491400780062,0.015882157474333726,-0.05073559793358564,0.033890458235435565,-0.009978522047650845,9.447780084278785e-05,0.02602539058466169,0.0,-0.009069785004340268,-0.01719658607994351,-0.015032770307630797,-0.013587095486554006,-0.005311420866264331,-0.02027215878963847,-0.001126705885781289,-0.024915378159230873,-0.033437253019264604
DENSITY,0.014913436350429299,0.01677039628279754,-0.0037427420603666633,-0.009853671123412028,-0.01688681580024,0.004406534866022244,-0.010592544098109988,-0.020919877639535622,0.01564210795238126,-0.009069785004340265,0.0,0.008745278956590639,-0.0008100563857166149,0.0012747702790350396,0.0314942006466776,0.004049064107343086,0.011222274304017912,0.008216196247485902,0.0038962176557187384
INDP_CAT,0.002524242761259116,0.02947947522326619,0.01626054654342269,0.017030662731166823,-0.011152620171150228,-0.015973712964997742,-0.0121150635259962,-0.011292562357251429,0.02175926330419743,-0.01719658607994351,0.008745278956590639,0.0,0.012732988467627326,0.0258963000700006,-0.015036277404150476,0.00020768994492589843,-0.0002821589639498967,0.003078758167197465,-0.01468711393409037
EDU,-0.004653491251833272,0.013441263508573165,-0.0031081637606485135,0.012029286957419533,0.010975578013594584,-0.02327643896013376,0.007466445606017835,-0.006175086803131946,0.010594215820754312,-0.015032770307630783,-0.0008100563857166149,0.012732988467627271,0.0,0.006252370702208299,-0.005281468856899632,0.003414642918824873,0.013427119405535398,-0.007758590714693563,-0.017176488077086716
PINCP_DECILE,0.004680678846726023,0.00891958328215775,0.007876337786383747,0.018866740796781384,-0.0035756833452850745,-0.009194712473587316,0.0025695851534282,0.0035771678373646143,0.0030355925930520486,-0.013587095486553999,0.0012747702790350465,0.025896300070000544,0.00625237070220841,-1.1102230246251565e-16,-0.006956353485345568,0.0004597978590064056,0.014055923365211609,-0.0003199324601049954,-0.007225874386673242
DVET,0.018093342893434554,0.009130553855250897,-0.008532976960411026,0.009465526207062218,-0.02272154349500007,-0.005435387973397841,-0.01593058306512289,-0.007829029922763624,0.014175967005659188,-0.00531142086626433,0.0314942006466776,-0.015036277404150476,-0.005281468856899646,-0.006956353485345554,2.220446049250313e-16,0.005959952225175072,-0.012923800308494923,-0.029388492919015012,-0.0783057973080904
