,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.001739868349325855,0.008669117610805497,0.0033157310728031616,0.0022830904585702805,-0.0038847586934701306,0.0030397555436290566,-0.001279596523421446,-0.0008628250950596938,-0.0021906936825608174,0.0,-0.001984693774309026,0.0011759761987303746,0.0027290892801551526,0.0027233325304474344,0.00022698535860543947,0.006131463784643937,-0.006087997396112466,0.004063879658774043
AGEP,0.0017398683493258515,0.0,-0.0015459311963983771,-0.00392193857773894,-0.001389406049387032,0.007112662176713594,-0.012097747362713296,-0.007768156142364868,0.009271314087448794,-0.004384213554752672,-0.00028159308038654303,0.01779723424148176,0.0034918877951325977,-0.0040958357124599165,-3.787742987637621e-05,0.0036280921465141336,0.000988210880096669,0.0006358586389855481,0.0005428732543698023
SEX,0.008669117610805497,-0.001545931196398384,0.0,0.004049654836352744,-0.0018527476739625551,-0.004538787910155832,-0.007808397788311898,-0.004090940306797769,0.015619579980117634,-0.01747119762557408,-0.005253115062571265,0.000656743627709476,-0.002644609042649255,0.006613452834288623,0.011324416868320836,-0.002319345189550903,0.004542742431732187,0.0007536597457387323,-0.014367994566669672
MSP,0.0033157310728031616,-0.003921938577738933,0.004049654836352744,0.0,0.005281566583615515,-0.005181434060676199,0.014912031972206752,0.008952978894481822,-0.011001155318274086,0.014497709254967392,0.004642760927026257,0.011956124311175403,0.008938657418864515,0.005858775643515557,-0.0018745285729821273,0.010275713618411564,0.003842705743893615,0.0015990333485922485,0.004049059093628531
HISP,0.0022830904585702805,-0.0013894060493870458,-0.0018527476739625551,0.005281566583615513,2.220446049250313e-16,0.0073923572410612565,-0.0007678811585833112,-0.003524644938388166,0.0031547410728758416,0.004619222118975988,-0.0022512737778457026,-0.007021136276753874,-0.004282318526610318,-0.001637217159030105,-0.0025286037388588534,-0.003356550448123226,-0.0007178848273301525,0.009066490170615638,-0.0007572762590954372
RAC1P,-0.0038847586934701306,0.007112662176713601,-0.004538787910155832,-0.005181434060676199,0.0073923572410612565,0.0,-0.00016225809756793136,-0.011155341374927422,0.011282229613788969,-0.004201690716403639,-0.003490120268628605,-0.010330982256791313,0.021151818948739007,0.011520670819270468,-0.002281489119693378,0.004150281841860667,0.0014295420142202142,0.004474998273261841,0.004894658438144302
NOC,0.0030397555436290635,-0.012097747362713296,-0.007808397788311893,0.014912031972206752,-0.0007678811585833112,-0.00016225809756792442,0.0,0.0066299901734645506,0.01971757416820341,-0.019113146489931926,-0.005155564559557763,-0.011754977352443255,-0.009125488715814783,-0.003929173696247568,0.004413694043251266,-0.00728943881713201,0.004052549434465591,0.0075234887910373,0.004469798000696662
NPF,-0.001279596523421439,-0.007768156142364868,-0.00409094030679777,0.008952978894481878,-0.003524644938388166,-0.011155341374927435,0.006629990173464662,0.0,0.013261121217054639,0.002133564510731857,-0.010525868953507975,-0.016285805723606467,-0.001436720020779686,-0.0011604264967163547,-0.0005296707884344561,-0.0031270046743300944,0.00040470837893815184,0.007371756430459203,0.0025890003195249978
HOUSING_TYPE,-0.00086282509505968,0.009271314087448794,0.015619579980117634,-0.011001155318274086,0.0031547410728758407,0.01128222961378897,0.019717574168203356,0.013261121217054639,0.0,0.019846967274511296,-0.006646076941727691,0.004108930410213117,0.001048581999610533,-0.0004056563285179532,-0.0014476091533956893,-0.004109389810772704,-0.006155291981083395,-0.010099749271610243,0.0018667770109593862
OWN_RENT,-0.002190693682560819,-0.004384213554752672,-0.017471197625574083,0.014497709254967399,0.004619222118975974,-0.004201690716403639,-0.019113146489931926,0.002133564510731857,0.01984696727451124,0.0,0.014091340214348796,-0.017658450382808333,-0.0012152663647673062,-0.006351700499801861,-0.004873606939942024,0.00038817350879511814,0.006040056873465474,0.007023779317344797,0.009076502868619676
