,Target samples,Deid. samples
0,66,0
1,0,0
2,0,0
3,0,0
4,0,0
5,18,1
6,0,0
7,0,0
8,0,0
9,0,0
10,138,16
11,0,0
12,28,4
13,82,12
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,168,47
23,0,0
24,89,28
25,0,0
26,0,0
27,116,42
28,500,194
29,0,0
30,0,0
31,0,0
32,0,0
33,195,98
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,759,481
40,0,0
41,148,104
42,94,69
43,677,508
44,0,0
45,1802,1468
46,2111,1793
47,274,241
48,1408,1277
49,8468,8118
50,6,6
51,0,0
52,3240,3462
53,0,0
54,2917,3398
55,253,312
56,2568,3303
57,0,0
58,0,0
59,0,0
60,0,0
61,225,350
62,0,0
63,593,1023
64,277,499
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,19,48
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,9,42
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,5,73
95,0,0
96,0,0
97,0,0
98,0,0
99,0,94
