,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,N,1,1,1,2,6,1,1,N,1,6,100.0
1,N,10,1,1,2,1,3,1,N,1,1,100.0
2,N,7,1,1,1,4,5,1,N,1,4,100.0
3,N,8,1,1,2,9,9,1,N,1,9,100.0
4,N,4,1,2,2,7,5,1,N,1,7,100.0
5,N,7,1,2,2,4,7,1,N,1,4,100.0
6,N,1,1,4,2,2,1,1,N,1,2,100.0
7,N,7,3,4,0,4,2,1,N,3,4,100.0
8,N,6,1,4,2,3,3,1,N,1,3,100.0
9,N,9,1,4,2,3,3,1,N,1,3,100.0
10,N,7,1,5,1,3,3,1,N,1,3,100.0
11,N,5,1,5,2,0,8,1,N,1,0,100.0
12,N,1,1,6,2,9,7,1,N,1,9,100.0
13,N,12,1,6,2,7,8,1,N,1,7,100.0
14,N,10,1,6,1,7,9,1,N,1,7,100.0
15,N,4,1,N,2,N,8,1,N,1,N,100.0
16,N,12,1,2,2,3,3,2,N,1,3,100.0
17,N,5,1,2,2,4,3,2,N,1,4,100.0
18,N,4,1,3,2,1,9,2,N,1,1,100.0
19,N,4,1,4,2,5,5,2,N,1,5,100.0
20,N,3,1,4,1,4,7,2,N,1,4,100.0
21,N,9,2,5,0,5,1,2,N,2,5,100.0
22,N,4,1,5,2,0,3,2,N,1,0,100.0
23,N,1,1,5,2,5,6,2,N,1,5,100.0
24,N,7,3,6,0,1,8,2,N,3,1,100.0
25,N,12,1,2,2,9,5,1,N,1,9,100.0
26,N,1,1,2,2,1,6,1,N,1,1,100.0
27,N,1,1,2,1,6,8,1,N,1,6,100.0
28,5,6,2,3,0,2,1,1,5,2,2,100.0
29,N,9,1,3,1,4,3,1,N,1,4,100.0
30,N,7,2,4,0,3,5,1,N,2,3,100.0
31,N,4,1,4,1,7,9,1,N,1,7,100.0
32,1,7,1,5,2,0,6,1,1,1,0,100.0
33,N,10,1,5,2,7,9,1,N,1,7,100.0
34,N,5,3,6,0,0,3,1,N,3,0,100.0
35,N,10,3,6,0,8,6,1,N,3,8,100.0
36,N,6,1,6,2,1,8,1,N,1,1,100.0
37,N,2,1,1,1,0,1,2,N,1,0,100.0
38,N,2,1,1,2,3,1,2,N,1,3,100.0
39,N,6,1,2,2,4,6,2,N,1,4,100.0
40,N,4,1,2,2,2,8,2,N,1,2,100.0
41,N,10,1,2,2,9,9,2,N,1,9,100.0
42,N,7,1,3,1,4,5,2,N,1,4,100.0
43,N,8,2,4,0,2,3,2,N,2,2,100.0
44,N,8,1,5,2,4,8,2,N,1,4,100.0
45,N,3,1,6,1,0,9,2,N,1,0,100.0
46,N,N,1,N,1,N,7,2,N,1,N,100.0
47,N,5,1,1,2,7,7,1,N,1,7,100.0
48,N,8,1,1,1,7,9,1,N,1,7,100.0
49,N,9,2,2,0,4,2,1,N,2,4,100.0
50,N,11,1,3,1,6,6,1,N,1,6,100.0
51,N,12,1,3,1,9,6,1,N,1,9,100.0
