,SEX,HOUSING_TYPE,DPHY,NOC,INDP_CAT,DEYE,OWN_RENT,PUMA,RAC1P,HISP,DVET,PINCP_DECILE,DREM,DEAR,NPF,AGEP,MSP,EDU
SEX,0.0,0.04386930689998415,0.007169588256443999,-0.05127081282316995,-0.02464754394011251,0.007141862025716969,-0.050253123308638896,-0.004033802833737251,-0.0044640681142659455,-0.025296753826096714,0.053874959005609666,0.07413296253581798,-0.014307058795079944,-0.004471792363546426,-0.03179110045838432,-0.062424209956545934,0.009296102817943498,-0.008007836623818359
HOUSING_TYPE,0.04386930689998415,0.0,-0.01868974115392532,0.42417392705825735,-0.025251874889037476,0.017334091584758814,0.6194614765462219,-0.03191873209479431,0.05997687825723097,-0.006941207154760776,0.03186022660454263,0.1446904846990743,-0.022984426335947192,-0.017556590541841367,0.24640247312576008,0.096030095555706,-0.264145592598232,0.03541104274045771
DPHY,0.007169588256443999,-0.01868974115392532,0.0,0.12329149899850314,-0.22537073353729062,-0.03270794170754064,0.07447183614028471,0.11579607140369133,0.02204772356653207,0.05851800920485765,-0.013583592145691874,-0.2835607945284195,-0.7884834260283659,-0.04754146349811815,0.07176508154568223,-0.1956294171878728,-0.2729181221943446,-0.4252306642776771
NOC,-0.05127081282316995,0.42417392705825735,0.12329149899850314,0.0,0.19190780268126806,-0.044536321789615384,-0.2448674769867506,0.003735417718186202,-0.12828445124866555,-0.00731175098169088,0.022976262702539385,0.2658446319733773,0.14940049440561798,-0.11579977207481669,-0.6877202500466575,0.41065366689904115,0.43436040121098796,0.31783444494923985
INDP_CAT,-0.02464754394011251,-0.025251874889037476,-0.22537073353729062,0.19190780268126806,0.0,-0.0860804017224329,-0.019634113506747868,0.05113036381283101,0.06693636908274679,0.005644897187461353,0.017383817461426088,-0.4610916310223867,-0.23839961901114726,-0.08656285828903196,0.11584729760821762,-0.11353067018050876,-0.29901835348491645,-0.41663560115754245
DEYE,0.007141862025716969,0.017334091584758814,-0.03270794170754064,-0.044536321789615384,-0.0860804017224329,0.0,0.025638806503205835,0.07604098504766828,-0.031455916999771155,0.03363540603730164,0.07468549493317964,-0.03741243592672411,-0.02928946775950023,-0.26320379621033785,-0.06192838602105276,0.15501782384168886,0.023870529735939366,-0.008151925131735606
OWN_RENT,-0.050253123308638896,0.6194614765462219,0.07447183614028471,-0.2448674769867506,-0.019634113506747868,0.025638806503205835,0.0,-0.20392399735643232,-0.08367343876392291,-0.17223584414428864,-0.006460433684548699,0.052349738111973666,0.021189019537213763,-0.03125712878743799,-0.14656188845499737,0.07615227786388737,-0.007625092313961535,0.07904007205315093
PUMA,-0.004033802833737251,-0.03191873209479431,0.11579607140369133,0.003735417718186202,0.05113036381283101,0.07604098504766828,-0.20392399735643232,0.0,-0.12450988460597313,-0.47989555893981223,-0.012431767577917915,0.2508033328856145,0.08808155134231332,0.00645658918710482,-0.09107200895311111,0.05099182478756846,-0.1315317442954852,0.4020643066942667
RAC1P,-0.0044640681142659455,0.05997687825723097,0.02204772356653207,-0.12828445124866555,0.06693636908274679,-0.031455916999771155,-0.08367343876392291,-0.12450988460597313,0.0,-0.25032623303025425,0.029579532778813186,0.11744696275133736,0.02754878992002941,-0.053743882356042445,-0.18652371407130086,0.1380094661333326,0.052116183753400686,0.1255894842958897
HISP,-0.025296753826096714,-0.006941207154760776,0.05851800920485765,-0.00731175098169088,0.005644897187461353,0.03363540603730164,-0.17223584414428864,-0.47989555893981223,-0.25032623303025425,0.0,0.009973425436714135,0.14458085842898383,0.026862616892099726,-0.04580179168090852,-0.10073152675736093,0.09728478761708506,-0.04771083178568004,0.2218134776671264
