,Target samples,Deid. samples
0,71,0
1,74,1
2,0,0
3,0,0
4,0,0
5,206,11
6,0,0
7,0,0
8,214,18
9,53,5
10,0,0
11,190,24
12,22,3
13,0,0
14,37,6
15,313,54
16,0,0
17,0,0
18,0,0
19,321,75
20,173,42
21,499,133
22,148,42
23,0,0
24,86,27
25,0,0
26,0,0
27,267,97
28,802,317
29,0,0
30,1020,442
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,832,470
37,226,132
38,0,0
39,51,33
40,0,0
41,0,0
42,416,305
43,2342,1733
44,0,0
45,0,0
46,586,491
47,0,0
48,128,117
49,0,0
50,0,0
51,10647,11200
52,0,0
53,835,933
54,91,105
55,3353,4079
56,4,5
57,232,319
58,0,0
59,0,0
60,1118,1664
61,0,0
62,0,0
63,29,50
64,787,1377
65,0,0
66,393,774
67,5,10
68,0,0
69,0,0
70,0,0
71,4,10
72,0,0
73,0,0
74,0,0
75,0,0
76,30,94
77,223,751
78,0,0
79,0,0
80,0,0
81,78,343
82,0,0
83,0,0
84,29,149
85,0,0
86,0,0
87,89,595
88,0,0
89,0,0
90,128,1188
91,72,705
92,0,0
93,0,0
94,0,0
95,29,608
96,0,0
97,0,0
98,0,0
99,0,0
