,feature,divergence
22,PWGTP,16.81867236775665
1,AGEP,13.38331452346955
23,WGTP,12.9990531938916
0,PUMA,8.661544720746223
11,INDP,7.07231895467592
14,PINCP,6.923659563971374
13,EDU,5.89000372705347
12,INDP_CAT,4.919358282246013
15,PINCP_DECILE,4.629621084089171
10,DENSITY,3.0777007165166266
16,POVPIP,2.694347338856822
3,MSP,2.514045354225681
7,NPF,2.2058965996015387
17,DVET,2.0085111127629522
6,NOC,0.6976570463393852
9,OWN_RENT,0.6947087961428446
2,SEX,0.6845759449559061
5,RAC1P,0.5450670626303843
19,DPHY,0.1460564027136721
4,HISP,0.1167886085164081
18,DREM,0.1160502801735539
8,HOUSING_TYPE,0.07143044271274251
21,DEAR,0.036486553948191655
20,DEYE,0.02671036769138035
