,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.021531548169363732,0.008085310634955873,0.08036814565617059,-0.10417178621324652,0.060950294705483424,-0.07910113350677192,-0.08936888307656851,0.08574821615038425,-0.005708283770985265,-0.005440839469982559,0.08619265464518158,0.009298242316310698,-0.024815755027209785,0.039057897402915626,0.03340924262605845,-0.0014116227093943778,0.003414893022263616
AGEP,0.021531548169363732,0.0,-0.049819657829623984,-0.10661357014689982,0.08194694662820705,0.12623831251175585,0.4239929302398855,0.3552937416810701,0.09750937786391935,0.10835431419633956,-0.09100785748344133,-0.44373995314960474,-0.4892225829048077,-0.0830509083877597,-0.312419305869358,-0.22847597888380436,0.13219589575493942,0.21143987234040373
SEX,0.008085310634955873,-0.049819657829623984,0.0,-0.00835697942368771,-0.015577343045227711,-0.0008632618998072909,-0.021195260734418846,-0.0026604807914068188,0.03389574541660903,-0.032368696943203594,-0.06333473580490513,-0.029193802830464854,0.08136379764540735,0.08561752869520571,-0.005068731061953173,-0.0003006912708348299,-0.01175779562380478,-0.05081929129525686
MSP,0.08036814565617059,-0.10661357014689982,-0.00835697942368771,0.0,-0.02161193494800694,0.005529313143774132,0.4342634680097809,0.41982150484808517,-0.2524091378247894,-0.02031366951016583,-0.25384029711362727,-0.2600484130167758,-0.1521229789482202,0.014449440376812651,-0.27701095772881545,-0.27921801765873727,0.03962690855299615,0.010253402529514923
HISP,-0.10417178621324652,0.08194694662820705,-0.015577343045227711,-0.02161193494800694,0.0,-0.17106855890870645,-0.023774768126090404,-0.0468606693340544,-0.017689482940452753,-0.0946885440817511,-0.008425284850683801,0.09043721173399745,0.0821081139589612,0.02447306611114022,0.01725092165015148,0.01647403001008251,0.006343891011349979,-0.031287829657782124
RAC1P,0.060950294705483424,0.12623831251175585,-0.0008632618998072909,0.005529313143774132,-0.17106855890870645,0.0,-0.0690219687143047,-0.09811094588004643,0.0028505606057171173,-0.08680549861970387,0.023608057539706025,0.0916528111968591,0.11371929839065342,0.02464273523395347,0.02970466777406941,0.0173079385510577,-0.0059083969205055995,-0.032981723155022194
NOC,-0.07910113350677192,0.4239929302398855,-0.021195260734418846,0.4342634680097809,-0.023774768126090404,-0.0690219687143047,0.0,-0.6715784636350868,0.37491055823555874,-0.18727095397149274,0.1534188642095932,0.3181777449697004,0.26589105679187447,0.03997455364425939,0.18916101619148665,0.14892721481773707,-0.046811769915763295,-0.08965328597736086
NPF,-0.08936888307656851,0.3552937416810701,-0.0026604807914068188,0.41982150484808517,-0.0468606693340544,-0.09811094588004643,-0.6715784636350868,0.0,0.22012656257365965,-0.0907991288328496,0.12908142796183925,0.32267909976557607,0.2646069053001219,0.03433208001508988,0.15723411634214765,0.13395265889958452,-0.0467427446745234,-0.07841366118249948
HOUSING_TYPE,0.08574821615038425,0.09750937786391935,0.03389574541660903,-0.2524091378247894,-0.017689482940452753,0.0028505606057171173,0.37491055823555874,0.22012656257365965,0.0,0.5981488933332845,0.04453216903392706,0.015311594973222037,0.1404755469352019,0.016770010305769904,-0.028319568508742926,-0.033977286088682286,0.01578752253964673,-0.006012875589351933
OWN_RENT,-0.005708283770985265,0.10835431419633956,-0.032368696943203594,-0.02031366951016583,-0.0946885440817511,-0.08680549861970387,-0.18727095397149274,-0.0907991288328496,0.5981488933332845,0.0,-0.08061200827868459,0.05400155901431647,0.003398094166103227,-0.0037720611032053654,0.018228692067159696,0.03323408323211333,0.0031227355784458326,-0.03614165352718705
INDP_CAT,-0.005440839469982559,-0.09100785748344133,-0.06333473580490513,-0.25384029711362727,-0.008425284850683801,0.023608057539706025,0.1534188642095932,0.12908142796183925,0.04453216903392706,-0.08061200827868459,0.0,-0.47798889474127687,-0.48648240273176446,-0.0016616150618378473,-0.2360668138227914,-0.2415655128819291,-0.06516061055748636,-0.0777243601693425
EDU,0.08619265464518158,-0.44373995314960474,-0.029193802830464854,-0.2600484130167758,0.09043721173399745,0.0916528111968591,0.3181777449697004,0.32267909976557607,0.015311594973222037,0.05400155901431647,-0.47798889474127687,0.0,-0.6630682402452316,-0.028243028018691167,-0.48367403580863355,-0.4677017814296462,-0.03108163008308493,0.009086020845069417
