,feature,divergence
15,POVPIP,0.795850121725316
1,AGEP,0.7828013108386943
13,PINCP,0.4027571258543444
14,PINCP_DECILE,0.33404186006005826
12,EDU,0.28190764509678623
10,INDP,0.2608087914364132
7,NPF,0.11878666999085845
11,INDP_CAT,0.10025744024501211
0,PUMA,0.07485268354833563
3,MSP,0.06394963552021207
9,OWN_RENT,0.06217268491212502
5,RAC1P,0.0523843562908883
6,NOC,0.04918509804166967
4,HISP,0.026147295804252325
2,SEX,0.013598780475034267
8,HOUSING_TYPE,0.012210559253570008
17,DREM,0.010334960354379683
20,DEAR,0.008341439107973886
19,DEYE,0.005082592121982213
18,DPHY,0.004725304146577722
16,DVET,0.0019236028448237378
