SECTOR,SECTOR,count_target,count_deidentified
11,11,625,0
21,21,2116,0
22,22,233,19668
23,23,18760,0
31,31,12156,15082
42,42,12900,15656
44,44,20800,18616
48,48,7245,12079
51,51,2948,0
52,52,8419,0
53,53,7105,51332
54,54,23319,0
55,55,1859,0
56,56,9177,0
61,61,1656,9940
62,62,11292,0
71,71,2556,9092
72,72,8952,0
81,81,8725,9614
99,99,236,0
