,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,-0.04457659713466398,-0.004206414883212273,0.02988370400814521,0.023570718877320054,0.04304569311453958,-0.03591298269674731,-0.008651056636397259,-0.047256617798648565,0.014076768999839742
SEX,-0.044576597134663984,-1.1102230246251565e-16,0.027621027245389285,-0.014173172367881919,0.05662824895789565,-0.027444754765688372,-0.06841524227037175,0.000651394707459646,0.09304140411326416,-0.006700117336770783
MSP,-0.00420641488321228,0.027621027245389285,-2.220446049250313e-16,-0.07940527020174941,-0.0038170193841704503,0.000696994792485417,0.06819423913650174,0.0513990673114646,-0.005497408885017789,0.0275446665389728
RAC1P,0.029883704008145225,-0.014173172367881919,-0.07940527020174941,0.0,-0.0030917217710645156,-0.1381782924856393,0.001142430646875775,0.04946147854383562,0.006133297173121251,0.0211323498133204
HOUSING_TYPE,0.02357071887732006,0.05662824895789565,-0.0038170193841704225,-0.0030917217710645156,0.0,0.0012469287452935296,0.06293228917597499,0.12886527603153422,0.00663956179982299,0.020325535453067943
OWN_RENT,0.04304569311453956,-0.027444754765688372,0.0006969947924854239,-0.1381782924856393,0.001246928745293474,1.1102230246251565e-16,0.008685575124846273,-0.01554451854972641,0.006387961520943591,0.01896984457686876
EDU,-0.035912982696747364,-0.06841524227037175,0.0681942391365018,0.001142430646875775,0.06293228917597499,0.008685575124846273,0.0,-0.002348335472862728,-0.03459095201596093,-0.0491513476961407
PINCP_DECILE,-0.008651056636397314,0.000651394707459646,0.0513990673114646,0.049461478543835605,0.12886527603153425,-0.015544518549726407,-0.002348335472862728,0.0,-0.05938202737789334,-0.04059885220104048
DVET,-0.047256617798648565,0.09304140411326417,-0.005497408885017792,0.006133297173121248,0.006639561799822991,0.006387961520943591,-0.034590952015960935,-0.05938202737789334,0.0,0.03909151787117023
DEYE,0.014076768999839742,-0.006700117336770783,0.027544666538972806,0.0211323498133204,0.020325535453067943,0.01896984457686876,-0.0491513476961407,-0.04059885220104049,0.03909151787117023,2.220446049250313e-16
