,Target,QID Combination,DiSCO Score
0,EDU,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0003
1,EDU,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0004
2,EDU,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
3,EDU,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0005
4,EDU,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0003
5,EDU,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
6,EDU,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0005
7,EDU,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0002
8,EDU,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0011
9,EDU,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.002
10,EDU,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0003
11,EDU,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0002
12,EDU,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0007
13,EDU,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0007
14,EDU,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
15,EDU,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0004
16,EDU,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0007
17,EDU,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0
18,EDU,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0051
19,EDU,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0007
20,EDU,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.001
21,OWN_RENT,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0075
22,OWN_RENT,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.003
23,OWN_RENT,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0014
24,OWN_RENT,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0092
25,OWN_RENT,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0165
26,OWN_RENT,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0643
27,OWN_RENT,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.004
28,OWN_RENT,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.002
29,OWN_RENT,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0068
30,OWN_RENT,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0103
31,OWN_RENT,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0634
32,OWN_RENT,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0006
33,OWN_RENT,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.003
34,OWN_RENT,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.003
35,OWN_RENT,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0461
36,OWN_RENT,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0019
37,OWN_RENT,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0021
38,OWN_RENT,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0467
39,OWN_RENT,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0203
40,OWN_RENT,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0654
41,OWN_RENT,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.064
42,MSP,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.0074
43,MSP,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.002
44,MSP,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0013
45,MSP,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0078
46,MSP,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0351
47,MSP,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0071
48,MSP,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0006
49,MSP,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0001
50,MSP,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0046
51,MSP,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0274
52,MSP,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0001
53,MSP,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0004
