,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.007513829370976799,0.0008441823156047175,0.0015275492775402993,-0.0032702267000505464,0.004346833588045329,-0.0060267264740588855,-0.002694862656110332,8.554221457000855e-05,-0.00376854503214797,-0.007478409366249161,-0.0038865053785304,-0.00723283835641513,0.007870066423724061,-0.007624437066182906,-0.0025945912402732356,-0.007458116897376888,-0.004646324318164017
AGEP,0.007513829370976799,0.0,-1.4116646379701281e-05,0.0003022844756873089,0.004244284181797245,0.002559257939889356,0.0038190216712883918,0.005357726268158225,-0.007994286788405268,-0.0054093814801659534,0.002970010577751925,0.0040592447821581334,-0.0003720999528593616,0.0009206475363955496,0.005254198787783881,0.01081896578598524,0.009835050050562344,-0.0022859464312373623
SEX,0.0008441823156047183,-1.4116646379715159e-05,0.0,-0.005743773216674268,0.00045940032085866906,0.005702909377493008,-0.000974989953969857,-0.000554092768610525,0.002453196918966803,-0.004636417070420871,0.003595125495579908,-0.0006745427397788564,0.0035368374926757623,0.0038925985173554334,-0.00043521983829614835,0.0037558264799676423,-0.009972703076419256,-0.00040099807526083886
MSP,0.0015275492775403063,0.000302284475687295,-0.005743773216674268,0.0,0.0036577454592673607,-0.0026185479139105433,0.001013969268139403,0.002390848416975455,0.004611839237189996,-0.008429971221557565,0.0029340625100163498,0.0040562505048842845,0.0057031595975716165,0.00835890509480608,0.005938943854316536,0.01574718668913269,-0.004545776825022406,-0.005168724482384252
HISP,-0.0032702267000505603,0.004244284181797245,0.0004594003208586682,0.0036577454592673607,2.220446049250313e-16,0.0015481804890113277,0.0002543543371267276,0.000842312972832035,-0.005443322300796689,0.00238528484229851,-0.0021479355225709623,0.009745938294156556,0.007246809315610281,0.00919532067078278,-0.0037261706067089964,-0.0005951053363862212,-0.027315783671817345,-0.012675272753967126
RAC1P,0.004346833588045329,0.00255925793988937,0.005702909377493008,-0.0026185479139105433,0.0015481804890113415,0.0,-0.0030429702740956757,-0.002590210824124653,0.0024424801726778637,-0.005679569345405616,-0.004664172982154609,0.010749803269957892,0.020488999677751613,0.005787769034221667,-0.01603909002702785,0.001701340896251867,-0.005617191847543838,-0.008572847596762793
NOC,-0.0060267264740588924,0.0038190216712884473,-0.00097498995396985,0.001013969268139403,0.00025435433712671374,-0.0030429702740956723,-1.1102230246251565e-16,-0.0008886792910194341,0.001405038602597608,0.007285454036809025,-0.00021378529882103148,-0.0012461848307536993,-0.0071242066217881705,-0.002331044296694236,-0.010095539977136095,-0.009951834461551082,-0.01335904006801144,-0.0018617164739593711
NPF,-0.002694862656110325,0.005357726268158225,-0.000554092768610525,0.002390848416975455,0.0008423129728320489,-0.002590210824124667,-0.0008886792910193231,2.220446049250313e-16,0.0011479542800155174,0.005088465371077884,-0.000730400577187526,0.006738140040366436,0.016201057513760858,0.002387795578031905,-0.0014830000400722493,-0.011323970705185576,-0.01330531509131131,-0.005519459056067433
HOUSING_TYPE,8.554221457002242e-05,-0.007994286788405275,0.00245319691896681,0.004611839237190024,-0.005443322300796689,0.0024424801726778637,0.001405038602597608,0.0011479542800156284,0.0,0.0007540343084000978,0.002723558634547457,0.0032430703605712367,0.02674755058927003,0.005739645267937661,0.007839020832392116,0.0006694834631919347,-0.0024037237019751585,-0.0020081795879042345
OWN_RENT,-0.0037685450321479734,-0.005409381480165967,-0.004636417070420871,-0.008429971221557572,0.0023852848422984962,-0.005679569345405616,0.007285454036809025,0.005088465371077884,0.0007540343084000423,0.0,0.0008106564349823903,0.008365581903746228,0.006958003859476973,-0.003300854992702827,0.007492680042437725,0.020811483534917186,0.016961399129569867,0.012776391805835778
INDP_CAT,-0.007478409366249163,0.0029700105777519387,0.003595125495579908,0.0029340625100163498,-0.002147935522570964,-0.004664172982154609,-0.00021378529882103148,-0.0007304005771875399,0.002723558634547457,0.0008106564349823972,0.0,0.0007575691913277449,0.002949155796170333,0.0031898446151060788,-0.00537292995103103,-0.00034212558679030947,-0.01835510328933567,-0.009465314941308242
EDU,-0.0038865053785304,0.004059244782158078,-0.000674542739778853,0.004056250504884312,0.00974593829415657,0.010749803269957892,-0.001246184830753727,0.006738140040366436,0.0032430703605712333,0.00836558190374622,0.0007575691913276894,0.0,-0.005508813073316965,-0.001526305470919101,-0.0051226059251132106,0.0038480046603776574,-0.0049043740346294135,-0.00597726214662067
PINCP_DECILE,-0.007232838356415129,-0.0003720999528593616,0.003536837492675776,0.005703159597571589,0.007246809315610281,0.020488999677751613,-0.007124206621788198,0.016201057513760858,0.02674755058927003,0.006958003859476973,0.002949155796170333,-0.005508813073316965,-2.220446049250313e-16,-0.0005290352667317172,0.0005131174465105026,0.0010709577904295664,-0.00895211548682569,-0.009251803698009063
