,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.01263667258061443,0.006965344475019776,0.06111988732292829,-0.09972284760482605,0.08677851293537915,-0.06020254599932894,-0.06564900401751761,0.06160299777078934,0.004416208349198749,-0.01256392288537007,0.061637065605463524,0.008820816503524332,-0.022408212100334387,0.017942444046137707,0.015187388061227883,-0.0013514666901562307,0.003104471581465658
AGEP,0.01263667258061443,0.0,-0.039129240142113754,-0.0682068263646294,0.09860337539959964,0.07336452622850329,0.32101849112367026,0.2545629023958178,0.06087871467176725,0.10116739439921295,-0.0800242060590093,-0.3328944786023048,-0.39088501019235544,-0.0720638875070282,-0.1530121107402055,-0.00345801948639066,0.10305559465501153,0.16267935182288615
SEX,0.006965344475019776,-0.03912924014211376,0.0,-0.009532290143609162,-0.013414789147748457,-0.009802174023351054,-0.028843685137705848,-0.009590669046308169,0.04269829637817268,-0.02827372630868905,-0.04800446421080356,-0.027460298397403802,0.06582367720471241,0.09046322405511337,-0.0057448529879733316,0.022349417506628583,-0.011757795623804693,-0.05081929129525682
MSP,0.06111988732292829,-0.0682068263646294,-0.00953229014360916,0.0,-0.006366608969060333,-0.04943332568062104,0.4138002916241976,0.4407869135435513,-0.2298698458465663,-0.04332329895899031,-0.217359424432017,-0.17578922067115604,-0.14030555945623377,0.01193389556917855,-0.16439013103449857,-0.15919744037167266,0.03723902736229201,0.013704281027588645
HISP,-0.09972284760482605,0.09860337539959964,-0.013414789147748457,-0.006366608969060333,0.0,-0.05690630146906245,-0.05077733173078687,-0.06572622241821649,-0.009884724331742341,-0.10878454044906845,0.006692467229329301,0.11617614845198504,0.09340938963434088,0.028077647894655458,0.017649438204628984,0.0117095177263166,0.0063991254745422235,-0.03184776013354308
RAC1P,0.08677851293537915,0.0733645262285033,-0.009802174023351054,-0.04943332568062104,-0.05690630146906245,0.0,-0.025008473543767614,-0.06669146116182688,-0.006235156126045792,-0.12316222786056508,0.040813735330765336,0.13558836076781652,0.13436670897300057,0.015816133015345138,0.02382277487888984,0.02924470035093371,0.022140585498904877,-0.037115041850983535
NOC,-0.06020254599932894,0.32101849112367026,-0.028843685137705848,0.4138002916241976,-0.05077733173078687,-0.02500847354376761,0.0,-0.6093914049380765,0.48004568553057203,-0.1853331397770938,0.10364720199043496,0.2159054582264441,0.19175564872690887,0.03814454679877419,0.0774641865092869,0.019780059195803484,-0.051884341399646774,-0.09239743055407704
NPF,-0.06564900401751761,0.2545629023958178,-0.009590669046308169,0.4407869135435513,-0.06572622241821648,-0.06669146116182689,-0.6093914049380764,0.0,0.24857610119313303,-0.05425533824073904,0.09630821390909958,0.2282521798460016,0.19805679976060703,0.03148182960515448,0.06850072035101472,0.0247852732926666,-0.04888352566229473,-0.07287156251437629
HOUSING_TYPE,0.06160299777078935,0.06087871467176726,0.04269829637817268,-0.2298698458465663,-0.009884724331742341,-0.006235156126045792,0.48004568553057203,0.2485761011931331,0.0,0.516441392971488,0.05701990093670567,0.036876025462628206,0.11132844544619977,0.015280962080036467,0.04906021103981907,0.033395701896497876,0.025235764609915914,0.005322605468984609
OWN_RENT,0.004416208349198751,0.10116739439921293,-0.02827372630868905,-0.04332329895899031,-0.10878454044906846,-0.12316222786056508,-0.1853331397770938,-0.05425533824073903,0.516441392971488,0.0,-0.05940112822979858,0.04630707486460161,0.02620662222543101,0.002351832420423609,-0.014385847060451292,0.007239585165178149,0.0077930157107521675,-0.034781984709039156
INDP_CAT,-0.012563922885370072,-0.0800242060590093,-0.04800446421080356,-0.217359424432017,0.006692467229329302,0.040813735330765336,0.10364720199043496,0.09630821390909959,0.05701990093670567,-0.059401128229798573,0.0,-0.36911410702351505,-0.3764862897467162,-0.0016921695008516105,-0.19856886891797565,-0.2185032977555326,-0.057315731569750075,-0.06700313207061204
EDU,0.061637065605463524,-0.33289447860230487,-0.027460298397403802,-0.17578922067115602,0.11617614845198504,0.13558836076781652,0.2159054582264441,0.2282521798460016,0.036876025462628206,0.04630707486460161,-0.36911410702351505,0.0,-0.5522029048880002,-0.025641871242225465,-0.27865462103007765,-0.24785894117517754,-0.03261124080355739,0.0014877061679045844
PINCP_DECILE,0.008820816503524332,-0.39088501019235544,0.06582367720471241,-0.14030555945623377,0.09340938963434088,0.13436670897300057,0.19175564872690884,0.19805679976060703,0.11132844544619978,0.026206622225431013,-0.3764862897467162,-0.5522029048880002,0.0,-0.0632417274846956,-0.24221092465454258,-0.21220991443411003,-0.016447374079135685,0.01767115456806553
DVET,-0.022408212100334387,-0.0720638875070282,0.09046322405511338,0.01193389556917855,0.028077647894655458,0.015816133015345134,0.03814454679877419,0.03148182960515448,0.015280962080036467,0.002351832420423609,-0.0016921695008516114,-0.025641871242225472,-0.0632417274846956,0.0,0.0044748261582612005,0.022002169473788365,0.05205317835061205,0.08391094296827427
DREM,0.017942444046137707,-0.1530121107402055,-0.00574485298797333,-0.16439013103449854,0.01764943820462898,0.02382277487888984,0.0774641865092869,0.06850072035101472,0.04906021103981907,-0.014385847060451288,-0.19856886891797565,-0.27865462103007765,-0.24221092465454258,0.0044748261582612005,0.0,-0.46434842388299424,-0.10538641643521621,-0.10176779228421379
DPHY,0.015187388061227883,-0.0034580194863906583,0.022349417506628583,-0.15919744037167266,0.0117095177263166,0.029244700350933718,0.019780059195803477,0.0247852732926666,0.033395701896497876,0.007239585165178149,-0.2185032977555326,-0.24785894117517754,-0.21220991443411003,0.022002169473788365,-0.46434842388299424,0.0,-0.13730842420749803,-0.12693572651486698
DEYE,-0.0013514666901562316,0.10305559465501153,-0.011757795623804693,0.03723902736229202,0.0063991254745422235,0.022140585498904877,-0.051884341399646774,-0.04888352566229473,0.025235764609915914,0.007793015710752166,-0.057315731569750075,-0.03261124080355739,-0.016447374079135685,0.05205317835061205,-0.1053864164352162,-0.13730842420749803,0.0,-0.2547160258795189
DEAR,0.0031044715814656587,0.16267935182288615,-0.05081929129525682,0.013704281027588645,-0.03184776013354308,-0.037115041850983535,-0.09239743055407702,-0.07287156251437629,0.005322605468984613,-0.034781984709039156,-0.06700313207061202,0.0014877061679045842,0.017671154568065527,0.08391094296827427,-0.10176779228421381,-0.12693572651486698,-0.2547160258795189,0.0
