EDUC1,EDUC1,count_target,count_deidentified
-1,nan,37180,37580
0,0,9792,9901
1,1,3614,3549
2,2,18962,18724
3,3,4450,4119
4,4,18371,18349
5,5,4636,4555
6,6,37552,37422
7,7,26522,26661
