,Target,QID Combination,DiSCO Score
0,EDU,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0013
1,EDU,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0043
2,EDU,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0069
3,EDU,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.001
4,EDU,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0009
5,EDU,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0001
6,EDU,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0102
7,EDU,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0029
8,EDU,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0012
9,EDU,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0004
10,EDU,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0005
11,EDU,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0042
12,EDU,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
13,EDU,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0003
14,EDU,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0001
15,EDU,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0026
16,EDU,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0013
17,EDU,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0018
18,EDU,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0009
19,EDU,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0007
20,EDU,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0002
21,PINCP_DECILE,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0009
22,PINCP_DECILE,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.0015
23,PINCP_DECILE,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0022
24,PINCP_DECILE,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0032
25,PINCP_DECILE,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.0004
26,PINCP_DECILE,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0002
27,PINCP_DECILE,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0016
28,PINCP_DECILE,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0035
29,PINCP_DECILE,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.001
30,PINCP_DECILE,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0001
31,PINCP_DECILE,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0003
32,PINCP_DECILE,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0017
33,PINCP_DECILE,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
34,PINCP_DECILE,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0003
35,PINCP_DECILE,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0002
36,PINCP_DECILE,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0008
37,PINCP_DECILE,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0005
38,PINCP_DECILE,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0006
39,PINCP_DECILE,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0004
40,PINCP_DECILE,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0001
41,PINCP_DECILE,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0004
42,MSP,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0068
43,MSP,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.0041
44,MSP,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0107
45,MSP,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0012
46,MSP,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.0015
47,MSP,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0006
48,MSP,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0029
49,MSP,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0199
50,MSP,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0007
51,MSP,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0015
52,MSP,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0006
53,MSP,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0043
54,MSP,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
55,MSP,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0007
56,MSP,"('DEYE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0005
57,MSP,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0033
58,MSP,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0027
59,MSP,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0025
60,MSP,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0008
61,MSP,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
62,MSP,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0007
63,OWN_RENT,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.063
64,OWN_RENT,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0285
65,OWN_RENT,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0569
66,OWN_RENT,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0047
67,OWN_RENT,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.0062
68,OWN_RENT,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.0058
69,OWN_RENT,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0116
70,OWN_RENT,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0436
71,OWN_RENT,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0105
72,OWN_RENT,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0132
73,OWN_RENT,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0153
74,OWN_RENT,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0323
75,OWN_RENT,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0165
76,OWN_RENT,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0176
77,OWN_RENT,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0175
78,OWN_RENT,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0116
79,OWN_RENT,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0138
80,OWN_RENT,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.014
