,NPF,PINCP_DECILE,OWN_RENT,DEAR,AGEP,DPHY,SEX,RAC1P,HISP,EDU,NOC,MSP,HOUSING_TYPE,PUMA,DREM,DVET,DEYE,INDP_CAT
NPF,0.0,-0.0015214965883173226,-0.007225207356467367,-0.0022041389350404977,0.005531308542585989,0.0024397895912945666,0.008811314789827699,-0.02193237326664793,-0.01475445011084986,0.0089370691684737,-0.018940399019019893,-0.015970055942439054,0.011607523302904599,-0.0012748250068209885,0.010138220127657471,-0.0074310424136061135,-0.01266919835606499,-0.009505997730254998
PINCP_DECILE,-0.0015214965883173226,0.0,-0.01213363404047664,0.006358504524756919,-0.0023523952480144494,0.0017897188497700278,-0.008750528513335229,0.005764390220159454,0.011439622274231842,-0.004962024456905967,-0.01952545489854951,0.02021152507567686,0.047615584830769955,-0.014668944383387214,-0.0028270312919484453,-0.010373878348105145,-0.00012017656501847693,0.006736639399259781
OWN_RENT,-0.007225207356467367,-0.01213363404047664,0.0,0.014526538167783355,-0.007222631168097252,0.020804506007116273,-0.004014616259192541,0.0035578877612510856,0.007619999628212248,0.0024995994490207424,-0.013561782493554553,0.005667562068910309,0.023381398032415346,-0.002220645938502519,0.01026044765037331,-0.010282240415093648,0.01689625256937649,0.009578344104874386
DEAR,-0.0022041389350404977,0.006358504524756919,0.014526538167783355,0.0,-0.013706271124858282,0.00826707360112805,0.007989047693311324,-0.008597555970252729,-0.014552960229428863,0.01948669879371262,0.004651872813441607,-0.024372032639898563,-0.036986646141994206,-0.02762285222940689,-0.002194478967253187,0.03509245836125002,0.004350815905457994,0.01791009873943794
AGEP,0.005531308542585989,-0.0023523952480144494,-0.007222631168097252,-0.013706271124858282,0.0,0.0027677990429054167,0.004062451147000948,0.01587777420602185,0.005254182892428572,0.017157588468754648,-0.0006111836940052018,0.0064016398275111575,0.005154327942031266,0.00100694447467789,-0.002716259424656031,0.013463082903633669,0.018165513996474314,-0.01147253052725443
DPHY,0.0024397895912945666,0.0017897188497700278,0.020804506007116273,0.00826707360112805,0.0027677990429054167,0.0,0.014690806838102147,0.00962296024413684,-0.013976708011676785,0.0023889972010063265,0.014933393311946153,0.01607112766696628,-0.009143866182340334,-0.0024443957856954647,0.0022590492369704007,0.0044554280238159735,0.008762909217924858,0.014521560555037893
SEX,0.008811314789827699,-0.008750528513335229,-0.004014616259192541,0.007989047693311324,0.004062451147000948,0.014690806838102147,0.0,0.022233910702110553,0.00628286409895707,-0.007196352842688991,0.01767467051360231,-0.036043752277514156,-0.011154250281572353,-0.016274258997868024,0.008018620394930918,0.004959151049881677,-0.02704485179262285,-0.0004164138613639984
RAC1P,-0.02193237326664793,0.005764390220159454,0.0035578877612510856,-0.008597555970252729,0.01587777420602185,0.00962296024413684,0.022233910702110553,0.0,0.009119321213946985,0.01745797598605857,-0.026743600488925545,-0.00713580613733146,0.012763405412849212,-0.013667094482835984,0.007710072628745238,0.010180199699380516,-0.046233847533669284,-0.01901972620423216
HISP,-0.01475445011084986,0.011439622274231842,0.007619999628212248,-0.014552960229428863,0.005254182892428572,-0.013976708011676785,0.00628286409895707,0.009119321213946985,0.0,0.008778556076033367,-0.018526519675501674,0.008255689485136386,-0.00605206638525025,0.0013076681185048011,-0.012030455384460393,0.020716755138938114,-0.05645750181099886,-0.006336148639506431
EDU,0.0089370691684737,-0.004962024456905967,0.0024995994490207424,0.01948669879371262,0.017157588468754648,0.0023889972010063265,-0.007196352842688991,0.01745797598605857,0.008778556076033367,0.0,0.004455152506591231,-0.004824400170328591,0.013091152961408184,0.004092722409556937,-0.003551782277677218,-0.008244803833520317,0.0069593804221723355,0.00046765090693873246
