,DENSITY,HOUSING_TYPE,DPHY,MSP,SEX,DREM,INDP_CAT,NPF,PUMA,RAC1P,PINCP_DECILE,DEAR,EDU,OWN_RENT,NOC,HISP,DEYE,AGEP,DVET
DENSITY,0.0,0.06334652463550822,0.0665957778247451,0.14105892483612495,0.012747857666568316,0.06661025954061071,0.11886311129965317,-0.11644035396153471,-0.20488027335682032,-0.1135981604021914,0.1393685586069779,-0.0038331391946391166,0.1976320268474537,0.016457425254158137,-0.12743334039171206,-0.3169731645626447,0.030060545212548088,0.020670064929990795,-0.0052865696685402
HOUSING_TYPE,0.06334652463550822,0.0,-0.017236129946336096,-0.01806072006364509,0.020531059226030112,-0.006790757961582881,0.010182108919472618,0.07229461287474476,0.0308370145227896,-0.0032203980571877252,0.010081312315448343,-0.027516648512225513,0.0630280011155007,0.1528819642267466,0.08226583697536027,-0.0004314753389234108,0.007131996123229901,0.04705946743417082,0.03263087834604535
DPHY,0.0665957778247451,-0.017236129946336096,0.0,-0.02705562660202354,0.012247240080762684,-0.2156276361506515,-0.03970289518370501,0.19190535734384842,-0.006743987678908854,0.005050796800493085,-0.021117406499413016,-0.045124749311116874,-0.31495732416741073,0.024143147886023265,0.012875624891473342,-0.0011455296783408325,-0.025064276675603465,0.03507172516693757,0.008148659652079306
MSP,0.14105892483612495,-0.01806072006364509,-0.02705562660202354,0.0,-0.008962311302795758,-0.032658690331157925,0.053615857308463355,0.34435314015447316,0.06713519066940556,-0.03755678386607521,0.03663328611133887,-0.02608206120301652,-0.14575429980998336,0.048578487911410846,0.006740391856928485,-0.0031824643046378474,-0.06024673837337708,0.07596694342827079,0.025649481532593776
SEX,0.012747857666568316,0.020531059226030112,0.012247240080762684,-0.008962311302795758,0.0,0.014359086676178235,-0.016874738801364194,0.020694934873011515,-0.007989829470909784,0.005878259578135346,0.00698260992874529,-0.00010340567492292743,-0.03551924114340948,-0.030204116560402807,-0.021137697524202224,-0.03187811224229592,-0.006683080778987188,-0.005020212598957283,0.04832747590922877
DREM,0.06661025954061071,-0.006790757961582881,-0.2156276361506515,-0.032658690331157925,0.014359086676178235,0.0,-0.013745472517081192,0.22591735649839487,0.028769702792043845,-0.011852249758703894,-0.01209834820677369,-0.03319879176678234,-0.33430967929110816,0.012693173523436269,0.027326660297144145,0.0015255070227945993,-0.006124744494416096,-0.00045191955821188845,0.022379629321333114
INDP_CAT,0.11886311129965317,0.010182108919472618,-0.03970289518370501,0.053615857308463355,-0.016874738801364194,-0.013745472517081192,0.0,0.19869129328876575,-0.07934948314521846,0.022798191842770155,-0.10153584202440491,-0.06386141747645223,-0.3687248556297482,-0.005157190048693146,-0.04612494779358936,0.03787162691613788,-0.07522091215457626,0.16865469814962028,-0.03589140784420294
NPF,-0.11644035396153471,0.07229461287474476,0.19190535734384842,0.34435314015447316,0.020694934873011515,0.22591735649839487,0.19869129328876575,0.0,0.02470147995940173,-0.03267380495174182,0.2828215938101743,-0.05282589235168698,0.3097731392800339,-0.0245552616770275,-0.6064539185058054,-0.007626858889078714,-0.009007934845205503,0.3008865291235976,0.03053026254851119
PUMA,-0.20488027335682032,0.0308370145227896,-0.006743987678908854,0.06713519066940556,-0.007989829470909784,0.028769702792043845,-0.07934948314521846,0.02470147995940173,0.0,-0.0017891011682720677,-0.07418598771103455,0.0013147700055362171,-0.09208829193417378,-0.021615755408893267,-0.06681195972020457,-0.06735707881013099,0.006372846396670852,0.008487145338508369,-0.035783184063555934
RAC1P,-0.1135981604021914,-0.0032203980571877252,0.005050796800493085,-0.03755678386607521,0.005878259578135346,-0.011852249758703894,0.022798191842770155,-0.03267380495174182,-0.0017891011682720677,0.0,0.06660133758455923,-0.0030476331869333326,0.08969401064038077,-0.0634900566860014,0.03971777813109263,-0.20155341579939645,0.005618963802505221,-0.01348472945706411,-0.013533160509291861
PINCP_DECILE,0.1393685586069779,0.010081312315448343,-0.021117406499413016,0.03663328611133887,0.00698260992874529,-0.01209834820677369,-0.10153584202440491,0.2828215938101743,-0.07418598771103455,0.06660133758455923,0.0,0.0028840675891912866,-0.48369474568147375,0.05172856972995416,0.0025249405803603464,0.054815891546450016,-0.026271873814894008,0.008491485712492364,-0.02588595245107267
DEAR,-0.0038331391946391166,-0.027516648512225513,-0.045124749311116874,-0.02608206120301652,-0.00010340567492292743,-0.03319879176678234,-0.06386141747645223,-0.05282589235168698,0.0013147700055362171,-0.0030476331869333326,0.0028840675891912866,0.0,0.024467046008970438,0.0030742898255208193,0.012278092472152016,0.027399997796352746,-0.10947192618348062,0.026239531803831706,-0.04169758062325014
EDU,0.1976320268474537,0.0630280011155007,-0.31495732416741073,-0.14575429980998336,-0.03551924114340948,-0.33430967929110816,-0.3687248556297482,0.3097731392800339,-0.09208829193417378,0.08969401064038077,-0.48369474568147375,0.024467046008970438,0.0,0.0392340146041526,0.18417710722261516,0.11648780528630504,-0.020431581776981175,-0.2394471372447796,-0.040085299734218545
OWN_RENT,0.016457425254158137,0.1528819642267466,0.024143147886023265,0.048578487911410846,-0.030204116560402807,0.012693173523436269,-0.005157190048693146,-0.0245552616770275,-0.021615755408893267,-0.0634900566860014,0.05172856972995416,0.0030742898255208193,0.0392340146041526,0.0,-0.1206473959165913,-0.055731216570759884,-0.018051792683432072,0.008517750061427146,-0.009995179337066023
NOC,-0.12743334039171206,0.08226583697536027,0.012875624891473342,0.006740391856928485,-0.021137697524202224,0.027326660297144145,-0.04612494779358936,-0.6064539185058054,-0.06681195972020457,0.03971777813109263,0.0025249405803603464,0.012278092472152016,0.18417710722261516,-0.1206473959165913,0.0,-0.013430071021454637,0.018793461201338506,-0.030610769001161442,0.00423322909456816
HISP,-0.3169731645626447,-0.0004314753389234108,-0.0011455296783408325,-0.0031824643046378474,-0.03187811224229592,0.0015255070227945993,0.03787162691613788,-0.007626858889078714,-0.06735707881013099,-0.20155341579939645,0.054815891546450016,0.027399997796352746,0.11648780528630504,-0.055731216570759884,-0.013430071021454637,0.0,-0.0018081051931610193,-0.0036934208292837764,0.019980901638912293
DEYE,0.030060545212548088,0.007131996123229901,-0.025064276675603465,-0.06024673837337708,-0.006683080778987188,-0.006124744494416096,-0.07522091215457626,-0.009007934845205503,0.006372846396670852,0.005618963802505221,-0.026271873814894008,-0.10947192618348062,-0.020431581776981175,-0.018051792683432072,0.018793461201338506,-0.0018081051931610193,0.0,0.0206770311870369,0.03609219707479307
AGEP,0.020670064929990795,0.04705946743417082,0.03507172516693757,0.07596694342827079,-0.005020212598957283,-0.00045191955821188845,0.16865469814962028,0.3008865291235976,0.008487145338508369,-0.01348472945706411,0.008491485712492364,0.026239531803831706,-0.2394471372447796,0.008517750061427146,-0.030610769001161442,-0.0036934208292837764,0.0206770311870369,0.0,-0.006869891830606892
DVET,-0.0052865696685402,0.03263087834604535,0.008148659652079306,0.025649481532593776,0.04832747590922877,0.022379629321333114,-0.03589140784420294,0.03053026254851119,-0.035783184063555934,-0.013533160509291861,-0.02588595245107267,-0.04169758062325014,-0.040085299734218545,-0.009995179337066023,0.00423322909456816,0.019980901638912293,0.03609219707479307,-0.006869891830606892,0.0
