,feature,divergence
21,PWGTP,4.918011988302877
22,WGTP,3.4713034336627584
13,PINCP,3.1691056657591083
1,AGEP,2.901884300249726
14,PINCP_DECILE,2.694653147444022
15,POVPIP,2.2247734832137582
10,INDP,1.883173746069385
12,EDU,1.5016501908277546
11,INDP_CAT,1.4057107018894426
7,NPF,0.9845544473257978
5,RAC1P,0.8236048743001539
0,PUMA,0.6133318192141723
6,NOC,0.5808544421668321
3,MSP,0.3802478341493088
18,DPHY,0.20518111443050807
17,DREM,0.19513116316579662
4,HISP,0.1813043543335712
8,HOUSING_TYPE,0.14689095644264835
16,DVET,0.08102464718599767
20,DEAR,0.07805208849157186
19,DEYE,0.07716196620712845
9,OWN_RENT,0.04679955833447677
2,SEX,0.013974503603514155
