ACQYR1,ACQYR1,count_target,count_deidentified
-1,nan,37187,22990
0,0,8777,8563
1,1,18041,20272
2,2,23786,27270
3,3,31126,35890
4,4,23757,26549
5,5,5788,6338
6,6,5984,6372
7,7,4606,4776
8,8,2027,2059
